id,0
application_1527220447442_833978,0
application_1527220447442_833202,1539
application_1527220447442_829116,0
application_1527220447442_831771,0
application_1527220447442_831788,0
application_1527220447442_834447,0
application_1527220447442_829306,0
application_1527220447442_834419,0
application_1527220447442_835648,0
application_1527220447442_834027,0
application_1527220447442_829594,0
application_1527220447442_833201,0
application_1527220447442_834985,0
application_1527220447442_826593,1444
application_1527220447442_826636,1350
application_1527220447442_835671,0
application_1527220447442_828537,1467
application_1527220447442_833717,0
application_1527220447442_832690,0
application_1527220447442_834068,1417
application_1527220447442_829697,0
application_1527220447442_834488,0
application_1527220447442_826842,0
application_1527220447442_824857,0
application_1527220447442_833736,1682
application_1527220447442_826167,0
application_1527220447442_834167,1682
application_1527220447442_834366,1324
application_1527220447442_835525,1394
application_1527220447442_830291,0
application_1527220447442_831037,1329
application_1527220447442_830415,0
application_1527220447442_835277,0
application_1527220447442_835044,0
application_1527220447442_831939,1508
application_1527220447442_833413,0
application_1527220447442_830515,0
application_1527220447442_830422,0
application_1527220447442_827204,0
application_1527220447442_833282,0
application_1527220447442_832934,1087
application_1527220447442_833254,0
application_1527220447442_832587,0
application_1527220447442_834744,0
application_1527220447442_833393,0
application_1527220447442_834052,0
application_1527220447442_827746,1423
application_1527220447442_835113,1072
application_1527220447442_833738,0
application_1527220447442_833718,0
