id,0
application_1527220447442_719645,2001
application_1527220447442_698179,3503
application_1527220447442_698164,3528
application_1527220447442_711742,0
application_1527220447442_714649,2001
application_1527220447442_719777,1824
application_1527220447442_696166,1668
application_1527220447442_693772,2257
application_1527220447442_716130,1702
application_1527220447442_717600,1980
application_1527220447442_714331,1410
application_1527220447442_698576,2081
application_1527220447442_699850,1022
application_1527220447442_717759,1254
application_1527220447442_717601,1251
application_1527220447442_693790,2019
application_1527220447442_696138,0
application_1527220447442_701342,1327
application_1527220447442_695713,1799
application_1527220447442_714085,0
application_1527220447442_694075,1019
application_1527220447442_713527,0
application_1527220447442_715114,0
application_1527220447442_717768,1104
application_1527220447442_717452,0
application_1527220447442_699154,0
application_1527220447442_711730,0
application_1527220447442_692644,4254
application_1527220447442_699836,1026
application_1527220447442_700679,0
application_1527220447442_693119,0
