queue,user,id,name,started_time,finished_time,cpu_average,cpu_seconds,memory_seconds,time_elapsed,finalStatus
root.hjpt,hjpt,application_1528716129308_14014,clean:sichuan_itf_4gdpi_mbl_20180611_22 DPI,2018-06-12 00:40:51,1970-01-01 08:00:00,1345,597479,1836847587,1534373,RUNNING
root.hjpt,hjpt,application_1528716129308_16922,roam:itf_4gdpi_mbl_hubei_20180611_19-roam,2018-06-12 01:07:26,1970-01-01 08:00:00,1220,148642,305986303,240500,RUNNING
root.sjyy_dm,daua,application_1528716129308_15169,'MID_APP_MBL_DPI_USER_TRMNL_INFO_D_ALL_20180610_851',2018-06-12 00:05:41,1970-01-01 08:00:00,1014,309460,735077072,4245514,RUNNING
root.hjpt,hjpt,application_1528716129308_15405,clean:anhui_itf_4gdpi_mbl_20180611_23 DPI,2018-06-12 01:24:26,1970-01-01 08:00:00,1285,3381,12025184,121190,RUNNING
root.hjpt,hjpt,application_1528716129308_15405,clean:anhui_itf_4gdpi_mbl_20180611_23 DPI,2018-06-12 01:24:26,1970-01-01 08:00:00,1089,337632,1038795364,421570,RUNNING
root.hjpt,hjpt,application_1528716129308_15406,clean:sichuan_itf_4gdpi_mbl_20180611_23 DPI,2018-06-12 01:39:54,1970-01-01 08:00:00,1293,318772,981166247,394816,RUNNING
root.hjtest.hjstandard,hjtest,application_1528716129308_20072,DPI_SER_2_813,2018-06-12 02:04:14,1970-01-01 08:00:00,1773,200768,414131480,437024,RUNNING
root.hjtest.hjstandard,hjtest,application_1528716129308_20497,'DPI_RECOG_QUANGUO_D_20180611_813',2018-06-12 02:16:14,1970-01-01 08:00:00,1337,188302,387283026,317406,RUNNING
root.hjpt,hjpt,application_1528716129308_19759,issp:recover_group_10_itf_iisp_offer_prod_inst_rel_h__20180611,2018-06-12 01:55:24,1970-01-01 08:00:00,1137,99667,206050876,1567080,RUNNING
root.hjtest.hjstandard,hjtest,application_1528716129308_20531,'DPI_RECOG_QUANGUO_D_20180611_832',2018-06-12 02:16:59,1970-01-01 08:00:00,1077,149680,307686089,272394,RUNNING
root.hjpt,hjpt,application_1528716129308_18236,clean:guangdong_itf_4gdpi_mbl_20180612_00 DPI,2018-06-12 02:20:42,1970-01-01 08:00:00,1067,294628,906671827,349695,RUNNING
