queue,user,id,name,started_time,finished_time,cpu_average,cpu_seconds,memory_seconds,time_elapsed,
root.hjpt,hjpt,application_1527220447442_787273,select * from net_db.itg...mdn='13311512902'(Stage-1),2018/6/6 16:31,1970/1/1 8:00,1831,187372,386368909,536434,
root.hjpt,hjpt,application_1527220447442_787404,select * from net_db.itg...mdn='13311512902'(Stage-1),2018/6/6 16:32,1970/1/1 8:00,1827,154229,318523557,447212,
root.hjpt,hjpt,application_1527220447442_749398,roam:itf_4gdpi_mbl_sichuan_20180526_02-combine,2018/6/6 1:57,1970/1/1 8:00,1819,462370,949203690,375596,
root.hjdq,hjdq,application_1527220447442_781741,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_2c3eb994-694e-11e8-b8bc-18c58a10ad18_34_20180604_0,2018/6/6 13:58,1970/1/1 8:00,1760,448525,922332626,664876,
root.hjpt,hjpt,application_1527220447442_755537,clean:chongqing_itf_4gdpi_mbl_20180606_02 DPI,2018/6/6 4:44,1970/1/1 8:00,1758,120518,372941747,257524,
root.hjdq,hjdq,application_1527220447442_755983,CHECK_TASK_bil01_BIL_DB.ITG_OTH_CDR_H_task_f2827bac-68f6-11e8-b326-18c58a10ad18_33_20180604_0,2018/6/6 3:35,1970/1/1 8:00,1748,75161,155798587,494589,
root.hjpt,hjpt,application_1527220447442_781712,clean:guangdong_itf_4gdpi_mbl_20180606_09 Warn DPI,2018/6/6 14:12,1970/1/1 8:00,1705,35060,110134754,153584,
root.hjdq,hjdq,application_1527220447442_784868,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_2a7676c2-695a-11e8-a03d-18c58a10ad18_33_20180518_0,2018/6/6 15:29,1970/1/1 8:00,1703,358566,738085111,659020,
root.hjpt,hjpt,application_1527220447442_765697,roam:itf_4gdpi_mbl_sichuan_20180605_22-combine,2018/6/6 8:16,1970/1/1 8:00,1701,7186,16473416,188082,
root.hjpt,hjpt,application_1527220447442_749585,roam:itf_4gdpi_mbl_sichuan_20180605_12-combine,2018/6/6 1:43,1970/1/1 8:00,1693,23237,49268812,298477,
root.hjpt,hjpt,application_1527220447442_752309,roam:itf_4gdpi_mbl_sichuan_20180605_17-roam,2018/6/6 2:11,1970/1/1 8:00,1661,489586,1004778641,449504,
root.hjpt,hjpt,application_1527220447442_787268,select * from net_db.itg...mdn='13311512902'(Stage-1),2018/6/6 16:32,1970/1/1 8:00,1627,212229,437746820,490070,
root.hjpt,hjpt,application_1527220447442_751494,clean:sichuan_itf_4gdpi_mbl_20180605_18 Warn DPI,2018/6/6 2:03,1970/1/1 8:00,1582,123034,380215530,269624,
root.hjpt,hjpt,application_1527220447442_758526,clean:sichuan_itf_4gdpi_mbl_20180605_22 Warn DPI,2018/6/6 5:00,1970/1/1 8:00,1577,5028,17076988,180111,
root.hjpt,hjpt,application_1527220447442_752233,roam:itf_4gdpi_mbl_sichuan_20180605_13-combine,2018/6/6 2:30,1970/1/1 8:00,1563,185533,381746262,209020,
root.hjpt,hjpt,application_1527220447442_755540,clean:anhui_itf_4gdpi_mbl_20180606_02 DPI,2018/6/6 4:45,1970/1/1 8:00,1558,67434,209632142,202502,
root.hjdq,hjdq,application_1527220447442_783960,CHECK_TASK_bil01_BIL_DB.ITG_OTH_MDR_H_task_20ba3136-6956-11e8-bda4-18c58a10ad18_34_20180518_0,2018/6/6 15:01,2018/6/6 15:19,922,954065,1955965727,1034612,1252
root.hjpt,hjpt,application_1527220447442_787222,select * from net_db.itg...mdn='13311512902'(Stage-1),2018/6/6 16:24,2018/6/6 16:30,782,284990,586970342,364449,
root.hjpt,hjpt,application_1527220447442_784530,select * from itg_4gdpi...op_time='20180606'(Stage-1),2018/6/6 15:20,2018/6/6 15:25,725,203972,419671617,281511,
root.hjpt,hjpt,application_1527220447442_780239,"select prov_id,count(1) from net_d...prov_id(Stage-1)",2018/6/6 13:23,2018/6/6 13:34,635,414605,854167010,652885,
