id,0
application_1527220447442_760990,2308
application_1527220447442_784211,3014
application_1527220447442_787348,1915
application_1527220447442_783960,1252
application_1527220447442_781741,1760
application_1527220447442_787222,0
application_1527220447442_784530,0
application_1527220447442_780239,0
application_1527220447442_787404,1827
application_1527220447442_780311,2259
application_1527220447442_783484,1205
application_1527220447442_787268,1627
application_1527220447442_787341,1172
application_1527220447442_787273,1831
application_1527220447442_785514,0
application_1527220447442_778150,1187
application_1527220447442_762930,1019
application_1527220447442_787344,0
application_1527220447442_782067,0
application_1527220447442_787236,1130
application_1527220447442_781786,0
application_1527220447442_784527,0
application_1527220447442_787225,1128
application_1527220447442_766378,0
