root.priority_queues.proccess.ocdc.prod,38943040,6000,204800000,6
root.priority_queues.proccess.ocdc.dimen,8096000,1500,12122752,6
root.priority_queues.proccess.ocdc.query,6596000,1500,18192000,6
root.normal_queues.converge.hjpt.prod,24576000,6000,36864000,6
root.normal_queues.converge.hjpt.hjstandard,356000,500,13968256,6
root.normal_queues.converge.hjpt.hjtest,356000,500,8040000,6
root.normal_queues.proccess.hxxt.yx,42961829,10000,65536000,6
root.normal_queues.proccess.hxxt.fp,28350080,5000,35986496,6
root.normal_queues.proccess.hxxt.jh,5120,5,10240,6
root.normal_queues.proccess.hxxt.ot,2048000,500,12288000,6
root.normal_queues.proccess.hxxt.bp,4194304,1000,10272704,6
root.normal_queues.proccess.hxxt.yx_test,1048576,100,2026048,6
root.normal_queues.proccess.hxxt.ocsp,2048000,500,4194304,6
root.normal_queues.proccess.ocdc.prod,38943040,5000,85000000,6
root.normal_queues.proccess.ocdc.dimen,8096000,1500,42122752,6
root.normal_queues.proccess.ocdc.query,5120,5,10240,6
root.normal_queues.backstage.yfzx.wzfw,712000,1000,3646464,6
root.normal_queues.backstage.yfzx.dw,5712000,500,8192000,6
root.normal_queues.backstage.yfzx.jt_shyfzx_queue_0,5120,5,10240,6
root.normal_queues.backstage.yfzx.op,204800,50,819200,6
root.normal_queues.backstage.yfzx.sjpt,5120,5,10240,6
root.normal_queues.backstage.yfzx.dm,51200,250,10015744,6
root.normal_queues.backstage.yy.credit_ct,6155000,2000,22528000,6
root.normal_queues.backstage.yy.sjyy_dm,6155000,2000,18432000,6
root.normal_queues.backstage.yy.jt_yyc_sqhx,3096000,800,5192000,6
root.normal_queues.backstage.yy.weizhirc,6155000,2000,16896000,6
root.normal_queues.backstage.yy.zq-kpi,6579000,1700,7740000,6
root.normal_queues.backstage.yy.bdmkt,4096000,1000,12288000,6
root.normal_queues.backstage.yy.zq-khhz,614400,150,1228800,6
root.normal_queues.backstage.sjzl.dpiq,6144000,1500,55434048,6
root.normal_queues.backstage.sjzl.hjdq,6144000,1500,10386048,6
root.normal_queues.backstage.sjzl.sjzl,4096000,1000,8192000,6
root.normal_queues.backstage.ptc.rabd,1280000,500,2560000,6
root.normal_queues.backstage.ptc.ossgkzz,26214400,6400,32768000,6
root.normal_queues.backstage.glc.dses,4096000,1000,8192000,6
root.normal_queues.backstage.glc.dmdc,6553600,1600,12288000,6
root.normal_queues.backstage.glc.mdcc,1576960,385,2457600,6

root.normal_queues.bigplatform.lqy_pro7_csqueue.queue1,67707,20,677066,6
root.normal_queues.bigplatform.lqy_pro7_csqueue.queue2,67706,20,677066,6
root.normal_queues.bigplatform.lqy_pro7_csqueue.queue3,67706,20,677066,6
root.normal_queues.bigplatform.lqy_pro8_csqueue.queue1,135414,40,677066,6
root.normal_queues.bigplatform.lqy_pro8_csqueue.queue2,135413,40,677066,6
root.normal_queues.bigplatform.lqy_pro8_csqueue.queue3,135413,40,677066,6
root.normal_queues.bigplatform.lqy_pro82_csqueue.queue1,135413,40,677065,6
root.normal_queues.bigplatform.xts_pro1_csqueue.queue1,12,7,180,6
root.normal_queues.bigplatform.lxl_pro7_csqueue.queue1,2,2,6,6
root.normal_queues.bigplatform.cqs_pro1_csqueue.queue1,12,7,180,6
root.normal_queues.bigplatform.lxl_pro8_csqueue.queue1,12,7,180,6
root.normal_queues.bigplatform.lxl_pro8_csqueue.queue3,12,6,180,6
root.normal_queues.bigplatform.lxl_pro8_csqueue.queue2,12,6,180,6
root.normal_queues.bigplatform.lxl_pro8_csqueue.queue4,12,6,180,6
root.normal_queues.bigplatform.lxl_pro8_csqueue.queue5,12,6,180,6
root.normal_queues.bigplatform.smh_pro6_csqueue.queue1,2,2,12,6
root.normal_queues.bigplatform.smh_pro8_csqueue.queue1,2,2,12,6
root.normal_queues.bigplatform.smh_pro7_csqueue.queue1,2,2,12,6
root.normal_queues.bigplatform.smh_pro82_csqueue.queue1,2,2,12,6
root.normal_queues.bigplatform.cqs_pro12_csqueue.queue1,2,2,12,6
root.normal_queues.bigplatform.smh_pro42_csqueue.queue1,2,2,12,6
root.normal_queues.bigplatform.smh_pro52_csqueue.queue1,2,2,16,6
root.normal_queues.bigplatform.zjs_pro2_csqueue.queue1,12,7,120,6
root.normal_queues.bigplatform.ygz_pro2_csqueue.queue1,24576,16,245760,6
root.normal_queues.bigplatform.cy_pro1_csqueue.queue1,12,12,120,6
root.normal_queues.bigplatform.cy_pro1_csqueue.queue2,12,6,120,6
root.normal_queues.bigplatform.cy_pro2_csqueue.queue1,12,12,120,6
root.normal_queues.bigplatform.cy_pro3_csqueue.queue1,12,7,120,6
root.normal_queues.bigplatform.cy_pro22_csqueue.queue1,11,4,104,6
root.normal_queues.bigplatform.cy_pro32_csqueue.queue1,12,7,120,6
root.normal_queues.bigplatform.cy_pro4_csqueue.queue1,12,7,120,6
root.normal_queues.bigplatform.cy_pro42_csqueue.queue1,804,24,8040,6
root.normal_queues.bigplatform.smh_pro72_csqueue.queue1,2,2,12,6
root.normal_queues.bigplatform.smh_pro62_csqueue.queue1,2,2,12,6
root.normal_queues.bigplatform.lyp_pro22_csqueue.queue1,2,2,12,6
root.normal_queues.bigplatform.lyp_pro3_csqueue.queue1,2,2,12,6
root.normal_queues.bigplatform.lyp_pro32_csqueue.queue1,2,2,12,6
root.normal_queues.bigplatform.zjs_pro1_csqueue.queue1,32499,7,324992,6
root.normal_queues.bigplatform.zjs_pro1_csqueue.queue2,32499,6,324992,6
root.normal_queues.bigplatform.smh_pro4_csqueue.queue1,12,7,180,6
