queue,user,id,name,started_time,finished_time,cpu_average,cpu_seconds,memory_seconds,time_elapsed,finalStatus
root.credit_ct,credit_ct,application_1530137151969_0011,select count(1) from ...kb_201805_811_app_10(Stage-1),2018-06-28 06:46:50,1970-01-01 08:00:00,4001,9371,23250246,57435,RUNNING
root.credit_ct,credit_ct,application_1530137151969_0011,select count(1) from ...kb_201805_811_app_10(Stage-1),2018-06-28 06:46:50,1970-01-01 08:00:00,4001,1178700,2472394109,357471,RUNNING
root.credit_ct,credit_ct,application_1530137151969_0011,select count(1) from ...kb_201805_811_app_10(Stage-1),2018-06-28 06:46:50,1970-01-01 08:00:00,4001,2378535,4938238060,657607,RUNNING
root.credit_ct,credit_ct,application_1530137151969_0011,select count(1) from ...kb_201805_811_app_10(Stage-1),2018-06-28 06:46:50,1970-01-01 08:00:00,4001,3575858,7399462727,957772,RUNNING
root.credit_ct,credit_ct,application_1530137151969_0011,select count(1) from ...kb_201805_811_app_10(Stage-1),2018-06-28 06:46:50,1970-01-01 08:00:00,4001,4774332,9858847778,1257920,RUNNING
root.credit_ct,credit_ct,application_1530137151969_0011,select count(1) from ...kb_201805_811_app_10(Stage-1),2018-06-28 06:46:50,1970-01-01 08:00:00,4001,5974728,12318246674,1558068,RUNNING
root.credit_ct,credit_ct,application_1530137151969_0011,select count(1) from ...kb_201805_811_app_10(Stage-1),2018-06-28 06:46:50,1970-01-01 08:00:00,4001,7174727,14776403574,1858260,RUNNING
root.hjpt,hjpt,application_1530137151969_2169,eda_iot_ddr_job_name,2018-06-28 08:08:29,1970-01-01 08:00:00,1054,154445,1041332180,262751,RUNNING
root.normal_queues.converge.hjpt.prod,hjpt,application_1530137151969_5138,anhui_itf_billing_mbl_data_20180628_09,2018-06-28 10:57:46,1970-01-01 08:00:00,1088,183344,1871404484,982297,RUNNING
root.weizhirc,weizhirc,application_1530137151969_3518,"insert into table  we...,a.mdn_code,a.msisdn(Stage-1)",2018-06-28 09:34:06,1970-01-01 08:00:00,1402,126785,261102059,6302931,RUNNING
