queue,user,id,name,started_time,finished_time,cpu_average,cpu_seconds,memory_seconds,time_elapsed,finalStatus
root.credit_ct,credit_ct,application_1528978566586_155078,CREATE TABLE TEMP_CREDIT_CHEAT_DAY_8_853...a(Stage-1),2018-06-17 00:00:44,1970-01-01 08:00:00,2000,37427,78625700,283938,RUNNING
root.hjpt,hjpt,application_1528978566586_155344,roam:itf_4gdpi_mbl_chongqing_20180616_04-roam,2018-06-16 23:59:38,1970-01-01 08:00:00,1655,110521,228042746,350157,RUNNING
root.credit_ct,credit_ct,application_1528978566586_155078,CREATE TABLE TEMP_CREDIT_CHEAT_DAY_8_853...a(Stage-1),2018-06-17 00:00:44,1970-01-01 08:00:00,2192,700033,1439778818,584444,RUNNING
root.hjpt,hjpt,application_1528978566586_155344,roam:itf_4gdpi_mbl_chongqing_20180616_04-roam,2018-06-16 23:59:38,1970-01-01 08:00:00,1011,546718,1121393597,650663,RUNNING
root.credit_ct,credit_ct,application_1528978566586_155078,CREATE TABLE TEMP_CREDIT_CHEAT_DAY_8_853...a(Stage-1),2018-06-17 00:00:44,1970-01-01 08:00:00,3856,1607306,3302431012,884872,RUNNING
root.credit_ct,credit_ct,application_1528978566586_155568,CREATE TABLE TEMP_CREDIT_CHEAT_DAY_8_854...a(Stage-1),2018-06-17 00:12:15,1970-01-01 08:00:00,1534,122564,252583378,494878,RUNNING
root.credit_ct,credit_ct,application_1528978566586_155568,CREATE TABLE TEMP_CREDIT_CHEAT_DAY_8_854...a(Stage-1),2018-06-17 00:12:15,1970-01-01 08:00:00,1267,527242,1085735538,795327,RUNNING
root.credit_ct,credit_ct,application_1528978566586_155078,CREATE TABLE TEMP_CREDIT_CHEAT_DAY_8_853...a(Stage-1),2018-06-17 00:00:44,1970-01-01 08:00:00,1010,2326312,4778707248,1485925,RUNNING
root.credit_ct,credit_ct,application_1528978566586_156011,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.RN=2(Stage-1),2018-06-17 00:14:51,1970-01-01 08:00:00,2016,503244,1034955015,940077,RUNNING
root.credit_ct,credit_ct,application_1528978566586_155568,CREATE TABLE TEMP_CREDIT_CHEAT_DAY_8_854...a(Stage-1),2018-06-17 00:12:15,1970-01-01 08:00:00,1959,1081487,2223541768,1095761,RUNNING
root.credit_ct,credit_ct,application_1528978566586_156011,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.RN=2(Stage-1),2018-06-17 00:14:51,1970-01-01 08:00:00,1325,1036313,2129777265,1240544,RUNNING
root.credit_ct,credit_ct,application_1528978566586_155568,CREATE TABLE TEMP_CREDIT_CHEAT_DAY_8_854...a(Stage-1),2018-06-17 00:12:15,1970-01-01 08:00:00,1261,1596101,3280459367,1396224,RUNNING
root.credit_ct,credit_ct,application_1528978566586_156011,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.RN=2(Stage-1),2018-06-17 00:14:51,1970-01-01 08:00:00,2111,1553879,3192364329,1541002,RUNNING
root.credit_ct,credit_ct,application_1528978566586_155568,CREATE TABLE TEMP_CREDIT_CHEAT_DAY_8_854...a(Stage-1),2018-06-17 00:12:15,1970-01-01 08:00:00,1212,2042283,4196193571,1696684,RUNNING
root.credit_ct,credit_ct,application_1528978566586_156011,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.RN=2(Stage-1),2018-06-17 00:14:51,1970-01-01 08:00:00,2383,2103716,4321564435,1841529,RUNNING
root.credit_ct,credit_ct,application_1528978566586_156617,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-1)",2018-06-17 00:37:50,1970-01-01 08:00:00,1990,1056749,2171358839,1063122,RUNNING
root.hjpt,hjpt,application_1528978566586_149763,clean:sichuan_itf_4gdpi_mbl_20180616_20 DPI,2018-06-17 00:43:17,1970-01-01 08:00:00,1657,403155,1240835677,736656,RUNNING
root.credit_ct,credit_ct,application_1528978566586_156617,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-1)",2018-06-17 00:37:50,1970-01-01 08:00:00,1759,1536602,3156263830,1363583,RUNNING
root.hjpt,hjpt,application_1528978566586_149763,clean:sichuan_itf_4gdpi_mbl_20180616_20 DPI,2018-06-17 00:43:17,1970-01-01 08:00:00,1598,897027,2757496098,1037116,RUNNING
root.sjyy_dm,daua,application_1528978566586_159852,HIVE-6bab2ee5-11a3-4a6d-b586-17b27fd6b794,2018-06-17 00:29:46,1970-01-01 08:00:00,1426,168843,347540804,1847969,RUNNING
root.hjpt,hjpt,application_1528978566586_157603,clean:sichuan_itf_4gdpi_mbl_20180611_13 Warn DPI,2018-06-17 00:54:02,1970-01-01 08:00:00,1382,260553,802733176,692203,RUNNING
root.hjpt,hjpt,application_1528978566586_156425,roam:itf_4gdpi_mbl_guangdong_20180616_02-combine,2018-06-17 00:54:15,1970-01-01 08:00:00,1306,221709,455477007,679257,RUNNING
root.credit_ct,credit_ct,application_1528978566586_156617,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-1)",2018-06-17 00:37:50,1970-01-01 08:00:00,1089,2053051,4217800094,1664131,RUNNING
root.credit_ct,credit_ct,application_1528978566586_157751,CREATE TABLE TEMP_CREDIT_CHEAT_DAY_8_852...a(Stage-1),2018-06-17 00:59:59,1970-01-01 08:00:00,1196,317183,653935067,635914,RUNNING
root.credit_ct,credit_ct,application_1528978566586_157751,CREATE TABLE TEMP_CREDIT_CHEAT_DAY_8_852...a(Stage-1),2018-06-17 00:59:59,1970-01-01 08:00:00,1967,820491,1690306989,936655,RUNNING
root.hjpt,hjpt,application_1528978566586_158749,clean:sichuan_itf_4gdpi_mbl_20180616_12 Warn DPI,2018-06-17 01:08:10,1970-01-01 08:00:00,1428,176630,544726663,446052,RUNNING
root.sjyy_dm,daua,application_1528978566586_159863,HIVE-5689cd4c-a75f-4d64-8e25-4986b35d0ca4,2018-06-17 00:29:48,1970-01-01 08:00:00,1040,277067,569029471,2747639,RUNNING
root.sjyy_dm,daua,application_1528978566586_160864,'mid_mdn_narrowtime_position_d_832_201805',2018-06-17 00:43:49,1970-01-01 08:00:00,1029,272780,560274389,1906448,RUNNING
root.credit_ct,credit_ct,application_1528978566586_163194,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-2)",2018-06-17 01:16:00,1970-01-01 08:00:00,1434,113567,234137269,276321,RUNNING
root.sjyy_dm,daua,application_1528978566586_159863,HIVE-5689cd4c-a75f-4d64-8e25-4986b35d0ca4,2018-06-17 00:29:48,1970-01-01 08:00:00,1075,594917,1220062953,3048253,RUNNING
root.sjyy_dm,daua,application_1528978566586_160864,'mid_mdn_narrowtime_position_d_832_201805',2018-06-17 00:43:49,1970-01-01 08:00:00,1065,588087,1206157980,2207060,RUNNING
root.credit_ct,credit_ct,application_1528978566586_157751,CREATE TABLE TEMP_CREDIT_CHEAT_DAY_8_852...a(Stage-1),2018-06-17 00:59:59,1970-01-01 08:00:00,1010,1332594,2743748775,1537925,RUNNING
root.credit_ct,credit_ct,application_1528978566586_163194,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-2)",2018-06-17 01:16:00,1970-01-01 08:00:00,1046,464216,953786376,1177989,RUNNING
root.hjpt,hjpt,application_1528978566586_160350,roam:itf_4gdpi_mbl_sichuan_20180616_10-roam,2018-06-17 01:33:31,1970-01-01 08:00:00,1435,288069,591512419,728128,RUNNING
root.hjpt,hjpt,application_1528978566586_159828,roam:itf_4gdpi_mbl_jiangsu_20180616_02-combine,2018-06-17 01:47:45,1970-01-01 08:00:00,1178,103647,213479003,475460,RUNNING
root.credit_ct,credit_ct,application_1528978566586_163786,"create table temp_com..._id
,day_id
,hour_id(Stage-1)",2018-06-17 01:48:14,1970-01-01 08:00:00,1104,112653,232014416,446504,RUNNING
root.credit_ct,credit_ct,application_1528978566586_163799,"create table temp_com..._id
,day_id
,hour_id(Stage-1)",2018-06-17 01:46:44,1970-01-01 08:00:00,1099,445370,915325212,536485,RUNNING
root.credit_ct,credit_ct,application_1528978566586_163786,"create table temp_com..._id
,day_id
,hour_id(Stage-1)",2018-06-17 01:48:14,1970-01-01 08:00:00,1225,396332,816177728,747021,RUNNING
root.credit_ct,credit_ct,application_1528978566586_163799,"create table temp_com..._id
,day_id
,hour_id(Stage-1)",2018-06-17 01:46:44,1970-01-01 08:00:00,1130,722479,1485995740,837004,RUNNING
root.hjpt,hjpt,application_1528978566586_159107,roam:itf_4gdpi_mbl_sichuan_20180615_23-combine,2018-06-17 02:04:51,1970-01-01 08:00:00,1631,152831,314759704,350844,RUNNING
root.hjdq,hjdq,application_1528978566586_165361,CHECK_TASK_province_CRM_DB.ITG_ORD_PROD_INST_ATTR_D_task_00822b96-718d-11e8-8bfc-18c58a10ad18_19_20180613_0,2018-06-17 01:47:37,1970-01-01 08:00:00,1037,351944,722072872,1685645,RUNNING
root.hjdq,hjdq,application_1528978566586_165361,CHECK_TASK_province_CRM_DB.ITG_ORD_PROD_INST_ATTR_D_task_00822b96-718d-11e8-8bfc-18c58a10ad18_19_20180613_0,2018-06-17 01:47:37,1970-01-01 08:00:00,1023,661482,1356008160,1986117,RUNNING
root.hjdq,hjdq,application_1528978566586_165361,CHECK_TASK_province_CRM_DB.ITG_ORD_PROD_INST_ATTR_D_task_00822b96-718d-11e8-8bfc-18c58a10ad18_19_20180613_0,2018-06-17 01:47:37,1970-01-01 08:00:00,1014,967229,1982174710,2286586,RUNNING
root.credit_ct,credit_ct,application_1528978566586_164071,"CREATE TABLE TEMP_CRE...
t.prov_id,
t.day_id(Stage-1)",2018-06-17 02:26:04,1970-01-01 08:00:00,2093,37755,79266484,279928,RUNNING
root.hjpt,hjpt,application_1528978566586_152875,clean:sichuan_itf_4gdpi_mbl_20180616_21 DPI,2018-06-17 02:21:00,1970-01-01 08:00:00,1638,498144,1532596665,583989,RUNNING
root.hjpt,hjpt,application_1528978566586_164221,roam:itf_4gdpi_mbl_sichuan_20180616_11-roam,2018-06-17 02:22:11,1970-01-01 08:00:00,1379,345628,709307375,513307,RUNNING
root.credit_ct,credit_ct,application_1528978566586_164071,"CREATE TABLE TEMP_CRE...
t.prov_id,
t.day_id(Stage-1)",2018-06-17 02:26:04,1970-01-01 08:00:00,3849,941733,1936792962,580381,RUNNING
root.hjpt,hjpt,application_1528978566586_152875,clean:sichuan_itf_4gdpi_mbl_20180616_21 DPI,2018-06-17 02:21:00,1970-01-01 08:00:00,1587,985455,3029281167,884443,RUNNING
root.credit_ct,credit_ct,application_1528978566586_164071,"CREATE TABLE TEMP_CRE...
t.prov_id,
t.day_id(Stage-1)",2018-06-17 02:26:04,1970-01-01 08:00:00,2722,1998412,4105385666,880851,RUNNING
root.credit_ct,credit_ct,application_1528978566586_164088,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-1)",2018-06-17 02:32:52,1970-01-01 08:00:00,1739,507270,1044662513,773766,RUNNING
root.credit_ct,credit_ct,application_1528978566586_164088,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-1)",2018-06-17 02:32:52,1970-01-01 08:00:00,2466,1033937,2126783569,1074301,RUNNING
root.credit_ct,credit_ct,application_1528978566586_164725,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-1)",2018-06-17 02:43:36,1970-01-01 08:00:00,2072,463334,951658742,730411,RUNNING
root.credit_ct,credit_ct,application_1528978566586_164088,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-1)",2018-06-17 02:32:52,1970-01-01 08:00:00,1928,1596312,3280356511,1374728,RUNNING
root.credit_ct,credit_ct,application_1528978566586_164725,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-1)",2018-06-17 02:43:36,1970-01-01 08:00:00,1819,989524,2033043226,1030875,RUNNING
root.credit_ct,credit_ct,application_1528978566586_164725,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-1)",2018-06-17 02:43:36,1970-01-01 08:00:00,3065,1609108,3306919573,1331372,RUNNING
root.hjpt,hjpt,application_1528978566586_155897,clean:sichuan_itf_4gdpi_mbl_20180616_22 DPI,2018-06-17 02:57:34,1970-01-01 08:00:00,1552,217368,669958089,493399,RUNNING
root.hjpt,hjpt,application_1528978566586_155897,clean:sichuan_itf_4gdpi_mbl_20180616_22 DPI,2018-06-17 02:57:34,1970-01-01 08:00:00,1551,683577,2101827274,794060,RUNNING
root.hjpt,hjpt,application_1528978566586_155897,clean:sichuan_itf_4gdpi_mbl_20180616_22 DPI,2018-06-17 02:57:34,1970-01-01 08:00:00,1114,1124793,3456958095,1094553,RUNNING
root.credit_ct,credit_ct,application_1528978566586_167117,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.rn=1(Stage-1),2018-06-17 03:14:29,1970-01-01 08:00:00,2475,219365,451740852,379980,RUNNING
root.hjpt,hjpt,application_1528978566586_166736,roam:itf_4gdpi_mbl_sichuan_20180616_08-combine,2018-06-17 03:10:40,1970-01-01 08:00:00,1030,255771,525045471,608512,RUNNING
root.credit_ct,credit_ct,application_1528978566586_167117,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.rn=1(Stage-1),2018-06-17 03:14:29,1970-01-01 08:00:00,3634,1195450,2459204520,680430,RUNNING
root.credit_ct,credit_ct,application_1528978566586_167788,"create table temp_com..._id
,day_id
,hour_id(Stage-1)",2018-06-17 03:23:30,1970-01-01 08:00:00,1820,182639,376479198,440061,RUNNING
root.credit_ct,credit_ct,application_1528978566586_167788,"create table temp_com..._id
,day_id
,hour_id(Stage-1)",2018-06-17 03:23:30,1970-01-01 08:00:00,1728,619480,1274123205,740452,RUNNING
root.credit_ct,credit_ct,application_1528978566586_167895,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-1)",2018-06-17 03:23:35,1970-01-01 08:00:00,1159,524958,1080179632,1035918,RUNNING
root.credit_ct,credit_ct,application_1528978566586_167788,"create table temp_com..._id
,day_id
,hour_id(Stage-1)",2018-06-17 03:23:30,1970-01-01 08:00:00,1125,999043,2055043443,1040903,RUNNING
root.credit_ct,credit_ct,application_1528978566586_167895,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-1)",2018-06-17 03:23:35,1970-01-01 08:00:00,1149,903107,1856776790,1336449,RUNNING
root.credit_ct,credit_ct,application_1528978566586_167788,"create table temp_com..._id
,day_id
,hour_id(Stage-1)",2018-06-17 03:23:30,1970-01-01 08:00:00,1104,1362486,2801162947,1341437,RUNNING
root.credit_ct,credit_ct,application_1528978566586_167554,"create table temp_com..._id
,day_id
,hour_id(Stage-1)",2018-06-17 03:24:03,1970-01-01 08:00:00,1101,815851,1677342504,1608669,RUNNING
root.credit_ct,credit_ct,application_1528978566586_167895,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-1)",2018-06-17 03:23:35,1970-01-01 08:00:00,1074,1194250,2454992430,1636984,RUNNING
root.credit_ct,credit_ct,application_1528978566586_167788,"create table temp_com..._id
,day_id
,hour_id(Stage-1)",2018-06-17 03:23:30,1970-01-01 08:00:00,1002,1638391,3368154895,1641972,RUNNING
root.hjpt,hjpt,application_1528978566586_164000,clean:anhui_itf_4gdpi_mbl_20180617_00 DPI,2018-06-17 03:43:52,1970-01-01 08:00:00,1193,286853,882682463,720556,RUNNING
root.hjpt,hjpt,application_1528978566586_159342,clean:sichuan_itf_4gdpi_mbl_20180616_23 DPI,2018-06-17 03:45:20,1970-01-01 08:00:00,1022,195294,601177587,632183,RUNNING
root.credit_ct,credit_ct,application_1528978566586_167554,"create table temp_com..._id
,day_id
,hour_id(Stage-1)",2018-06-17 03:24:03,1970-01-01 08:00:00,1017,1075767,2212343167,1909178,RUNNING
