queue,user,id,name,started_time,finished_time,cpu_average,cpu_seconds,memory_seconds,time_elapsed,finalStatus
root.hjtest.hjtest,hjtest,application_1528978566586_212090,'SUM_FIX_DPI_APP_D_20180615',2018-06-17 23:59:40,1970-01-01 08:00:00,1850,34737,73032821,181766,RUNNING
root.hjdq,hjdq,application_1528978566586_211839,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_e53acb5e-7245-11e8-af8f-18c58a10ad18_33_20180616_0,2018-06-17 23:49:54,1970-01-01 08:00:00,1468,206224,424331757,1067844,RUNNING
root.hjdq,hjdq,application_1528978566586_211917,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_5b5e6cdc-7246-11e8-b54a-18c58a10ad18_34_20180616_0,2018-06-17 23:52:13,1970-01-01 08:00:00,1278,188485,387828608,929024,RUNNING
root.hjdq,hjdq,application_1528978566586_211839,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_e53acb5e-7245-11e8-af8f-18c58a10ad18_33_20180616_0,2018-06-17 23:49:54,1970-01-01 08:00:00,1314,606865,1245185044,1368257,RUNNING
root.hjdq,hjdq,application_1528978566586_211917,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_5b5e6cdc-7246-11e8-b54a-18c58a10ad18_34_20180616_0,2018-06-17 23:52:13,1970-01-01 08:00:00,1277,518620,1064480737,1229438,RUNNING
root.hjdq,hjdq,application_1528978566586_211969,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_9c103e68-7246-11e8-a404-18c58a10ad18_35_20180616_0,2018-06-17 23:54:17,1970-01-01 08:00:00,1102,283194,581733707,1104643,RUNNING
root.dm,lijinyang,application_1528978566586_212111,oiddDataFromHive,2018-06-18 00:04:16,1970-01-01 08:00:00,1001,267294,621401323,506261,RUNNING
root.hjdq,hjdq,application_1528978566586_211969,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_9c103e68-7246-11e8-a404-18c58a10ad18_35_20180616_0,2018-06-17 23:54:17,1970-01-01 08:00:00,1311,631852,1296167923,1405017,RUNNING
root.hjdq,hjdq,application_1528978566586_211839,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_e53acb5e-7245-11e8-af8f-18c58a10ad18_33_20180616_0,2018-06-17 23:49:54,1970-01-01 08:00:00,1081,967198,1983210836,1668632,RUNNING
root.hjdq,hjdq,application_1528978566586_211917,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_5b5e6cdc-7246-11e8-b54a-18c58a10ad18_34_20180616_0,2018-06-17 23:52:13,1970-01-01 08:00:00,1043,886542,1817939106,1529813,RUNNING
root.dm,lijinyang,application_1528978566586_212111,oiddDataFromHive,2018-06-18 00:04:16,1970-01-01 08:00:00,1001,568175,1319473289,806636,RUNNING
root.hjdq,hjdq,application_1528978566586_212153,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_e2d6ce1a-7247-11e8-bf81-18c58a10ad18_33_20180615_0,2018-06-18 00:03:10,1970-01-01 08:00:00,1197,225240,464157468,1172980,RUNNING
root.hjdq,hjdq,application_1528978566586_211917,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_5b5e6cdc-7246-11e8-b54a-18c58a10ad18_34_20180616_0,2018-06-17 23:52:13,1970-01-01 08:00:00,1043,1199599,2459074440,1830142,RUNNING
root.dm,lijinyang,application_1528978566586_212111,oiddDataFromHive,2018-06-18 00:04:16,1970-01-01 08:00:00,1001,868876,2017131861,1106965,RUNNING
root.credit_ct,credit_ct,application_1528978566586_211151,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.rn=1(Stage-1),2018-06-18 00:25:07,1970-01-01 08:00:00,4001,85631,179459905,156542,RUNNING
root.hjpt,hjpt,application_1528978566586_208184,clean:sichuan_itf_4gdpi_mbl_20180617_20 DPI,2018-06-18 00:21:09,1970-01-01 08:00:00,1544,335742,1033636409,394214,RUNNING
root.hjdq,hjdq,application_1528978566586_212326,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_cee5a38a-7248-11e8-a168-18c58a10ad18_35_20180615_0,2018-06-18 00:10:02,1970-01-01 08:00:00,1233,357039,733680152,1061472,RUNNING
root.hjdq,hjdq,application_1528978566586_212153,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_e2d6ce1a-7247-11e8-bf81-18c58a10ad18_33_20180615_0,2018-06-18 00:03:10,1970-01-01 08:00:00,1162,575417,1181318280,1473290,RUNNING
root.hjdq,hjdq,application_1528978566586_212326,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_cee5a38a-7248-11e8-a168-18c58a10ad18_35_20180615_0,2018-06-18 00:10:02,1970-01-01 08:00:00,1600,855007,1754079341,1361797,RUNNING
root.hjpt,hjpt,application_1528978566586_208184,clean:sichuan_itf_4gdpi_mbl_20180617_20 DPI,2018-06-18 00:21:09,1970-01-01 08:00:00,1509,797918,2453151462,694539,RUNNING
root.hjdq,hjdq,application_1528978566586_212326,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_cee5a38a-7248-11e8-a168-18c58a10ad18_35_20180615_0,2018-06-18 00:10:02,1970-01-01 08:00:00,1337,1319956,2706327530,1662168,RUNNING
root.hjpt,hjpt,application_1528978566586_212185,clean:sichuan_itf_4gdpi_mbl_20180617_16 Warn DPI,2018-06-18 00:42:47,1970-01-01 08:00:00,1157,98359,303893619,297964,RUNNING
root.hjpt,hjpt,application_1528978566586_209645,clean:anhui_itf_4gdpi_mbl_20180617_21 DPI,2018-06-18 00:48:37,1970-01-01 08:00:00,1310,85968,266004402,248213,RUNNING
root.hjpt,hjpt,application_1528978566586_209645,clean:anhui_itf_4gdpi_mbl_20180617_21 DPI,2018-06-18 00:48:37,1970-01-01 08:00:00,1304,482772,1484789632,548668,RUNNING
root.hjpt,hjpt,application_1528978566586_211409,roam:itf_4gdpi_mbl_chongqing_20180617_04-combine,2018-06-18 01:03:16,1970-01-01 08:00:00,1474,110890,228752456,270448,RUNNING
root.hjpt,hjpt,application_1528978566586_211942,roam:itf_4gdpi_mbl_anhui_20180617_02-combine,2018-06-18 01:13:36,1970-01-01 08:00:00,1089,151243,311127499,251325,RUNNING
root.hjpt,hjpt,application_1528978566586_212816,roam:itf_4gdpi_mbl_sichuan_20180617_13-roam,2018-06-18 01:17:50,1970-01-01 08:00:00,1377,262956,540115608,297470,RUNNING
root.hjpt,hjpt,application_1528978566586_211006,clean:anhui_itf_4gdpi_mbl_20180617_22 DPI,2018-06-18 01:20:23,1970-01-01 08:00:00,1365,37215,116351728,144287,RUNNING
root.hjpt,hjpt,application_1528978566586_211023,clean:guangdong_itf_4gdpi_mbl_20180617_22 DPI,2018-06-18 01:15:05,1970-01-01 08:00:00,1091,306706,943683858,462791,RUNNING
