queue,user,id,name,started_time,finished_time,cpu_average,cpu_seconds,memory_seconds,time_elapsed,finalStatus
root.hjdq,hjdq,application_1528978566586_304566,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_7fa8b8c6-73d7-11e8-b9cd-18c58a10ad18_35_20180617_0,2018-06-19 23:45:45,1970-01-01 08:00:00,1695,142455,294380148,869321,RUNNING
root.hjdq,hjdq,application_1528978566586_304552,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_8015736c-73d7-11e8-92c2-18c58a10ad18_34_20180617_0,2018-06-19 23:45:07,1970-01-01 08:00:00,1185,221048,454942407,906497,RUNNING
root.hjdq,hjdq,application_1528978566586_304551,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_8003d6de-73d7-11e8-b66e-18c58a10ad18_33_20180617_0,2018-06-19 23:45:06,1970-01-01 08:00:00,1252,617493,1268691742,1208073,RUNNING
root.hjpt,hjpt,application_1528978566586_305135,CRM_INTEG_USER_INFO_BSS_D_832_20180617,2018-06-20 00:12:24,1970-01-01 08:00:00,1495,78760,406688168,171359,RUNNING
root.hjdq,hjdq,application_1528978566586_305118,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_5486396c-73db-11e8-92c2-18c58a10ad18_35_20180617_0,2018-06-20 00:11:20,1970-01-01 08:00:00,3425,441768,909644224,835439,RUNNING
root.hjdq,hjdq,application_1528978566586_305134,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_cc56b58a-73da-11e8-b66e-18c58a10ad18_34_20180617_0,2018-06-20 00:12:03,1970-01-01 08:00:00,2146,625013,1284950939,792203,RUNNING
root.sjyy_dm,daua,application_1528978566586_304208,HIVE-da4f821f-bdb6-4305-90ef-cc65cf4864da,2018-06-19 23:36:40,1970-01-01 08:00:00,1404,1198838,2458338091,2915164,RUNNING
root.sjyy_dm,daua,application_1528978566586_304212,HIVE-d703b331-d9d3-4798-b7ec-71cc8fcc880a,2018-06-19 23:36:54,1970-01-01 08:00:00,1393,863736,1771348961,2901991,RUNNING
root.sjyy_dm,daua,application_1528978566586_304229,HIVE-d73809dd-5be9-42c4-b6cc-6a8ab12ffcc8,2018-06-19 23:36:51,1970-01-01 08:00:00,1387,1195176,2450538546,2904999,RUNNING
root.sjyy_dm,daua,application_1528978566586_304218,HIVE-18ed116e-9958-49a3-a496-200519493ab3,2018-06-19 23:36:41,1970-01-01 08:00:00,1383,1039635,2131979206,2914431,RUNNING
root.sjyy_dm,daua,application_1528978566586_304212,HIVE-d703b331-d9d3-4798-b7ec-71cc8fcc880a,2018-06-19 23:36:54,1970-01-01 08:00:00,2153,1403300,2877447983,3202302,RUNNING
root.hjdq,hjdq,application_1528978566586_305134,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_cc56b58a-73da-11e8-b66e-18c58a10ad18_34_20180617_0,2018-06-20 00:12:03,1970-01-01 08:00:00,2122,1259660,2584692554,1092514,RUNNING
root.hjdq,hjdq,application_1528978566586_305118,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_5486396c-73db-11e8-92c2-18c58a10ad18_35_20180617_0,2018-06-20 00:11:20,1970-01-01 08:00:00,1370,1077278,2211933510,1135750,RUNNING
root.hjpt,hjpt,application_1528978566586_305135,CRM_INTEG_USER_INFO_BSS_D_832_20180617,2018-06-20 00:12:24,1970-01-01 08:00:00,1191,180995,930552259,1072309,RUNNING
root.sjyy_dm,daua,application_1528978566586_304212,HIVE-d703b331-d9d3-4798-b7ec-71cc8fcc880a,2018-06-19 23:36:54,1970-01-01 08:00:00,2101,2040956,4183375215,3502618,RUNNING
root.hjdq,hjdq,application_1528978566586_305134,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_cc56b58a-73da-11e8-b66e-18c58a10ad18_34_20180617_0,2018-06-20 00:12:03,1970-01-01 08:00:00,1781,1833581,3760064893,1392830,RUNNING
root.hjdq,hjdq,application_1528978566586_305123,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_502c7878-73da-11e8-b9cd-18c58a10ad18_33_20180617_0,2018-06-20 00:11:30,1970-01-01 08:00:00,1602,849583,1743941707,1425834,RUNNING
root.sjyy_dm,daua,application_1528978566586_304208,HIVE-da4f821f-bdb6-4305-90ef-cc65cf4864da,2018-06-19 23:36:40,1970-01-01 08:00:00,1575,1821832,3736368014,3515792,RUNNING
