queue,user,id,name,started_time,finished_time,cpu_average,cpu_seconds,memory_seconds,time_elapsed,finalStatus
root.credit_ct,credit_ct,application_1528978566586_92242,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.rn=1(Stage-1),2018-06-15 23:55:23,1970-01-01 08:00:00,3459,431602,888946353,378583,RUNNING
root.credit_ct,credit_ct,application_1528978566586_92242,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.rn=1(Stage-1),2018-06-15 23:55:23,1970-01-01 08:00:00,3066,1238236,2547022402,678973,RUNNING
root.hjpt,hjpt,application_1528978566586_93226,roam:itf_4gdpi_mbl_anhui_20180615_01-roam,2018-06-16 00:04:23,1970-01-01 08:00:00,1309,97830,201810604,439019,RUNNING
root.credit_ct,credit_ct,application_1528978566586_92942,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.RN=2(Stage-1),2018-06-16 00:14:27,1970-01-01 08:00:00,1657,1330,3252286,135185,RUNNING
root.hjpt,hjpt,application_1528978566586_88657,clean:sichuan_itf_4gdpi_mbl_20180615_20 DPI,2018-06-16 00:08:35,1970-01-01 08:00:00,1031,281493,866059148,487773,RUNNING
root.credit_ct,credit_ct,application_1528978566586_92942,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.RN=2(Stage-1),2018-06-16 00:14:27,1970-01-01 08:00:00,1652,913978,1880959258,435575,RUNNING
root.hjpt,hjpt,application_1528978566586_88657,clean:sichuan_itf_4gdpi_mbl_20180615_20 DPI,2018-06-16 00:08:35,1970-01-01 08:00:00,1022,589882,1813123357,788162,RUNNING
root.hjpt,hjpt,application_1528978566586_94260,clean:sichuan_itf_4gdpi_mbl_20180615_12 Warn DPI,2018-06-16 00:33:12,1970-01-01 08:00:00,1229,26773,84005240,211865,RUNNING
root.dw,dw_etl,application_1528978566586_94998,HIVE-39a11158-c6f8-4117-b8b2-b63dc1dcffc9,2018-06-16 00:16:00,1970-01-01 08:00:00,1008,535877,4382323926,2145334,RUNNING
root.credit_ct,credit_ct,application_1528978566586_93931,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.rn=1(Stage-1),2018-06-16 00:49:41,1970-01-01 08:00:00,2007,158011,325672363,424270,RUNNING
root.credit_ct,credit_ct,application_1528978566586_93931,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.rn=1(Stage-1),2018-06-16 00:49:41,1970-01-01 08:00:00,1887,841877,1731185893,724706,RUNNING
root.credit_ct,credit_ct,application_1528978566586_93931,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.rn=1(Stage-1),2018-06-16 00:49:41,1970-01-01 08:00:00,1836,1487643,3058935961,1025305,RUNNING
root.sjyy_dm,daua,application_1528978566586_95389,mid_contentview_m_201805',2018-06-16 01:07:43,1970-01-01 08:00:00,1272,44711,92996810,244306,RUNNING
root.hjpt,hjpt,application_1528978566586_95157,roam:itf_4gdpi_mbl_chongqing_20180615_03-roam,2018-06-16 01:23:23,1970-01-01 08:00:00,1312,399669,820600176,506200,RUNNING
root.credit_ct,credit_ct,application_1528978566586_95290,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.RN=2(Stage-1),2018-06-16 01:32:09,1970-01-01 08:00:00,3946,396748,818072028,281022,RUNNING
root.credit_ct,credit_ct,application_1528978566586_95290,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.RN=2(Stage-1),2018-06-16 01:32:09,1970-01-01 08:00:00,3487,1420573,2922272403,581451,RUNNING
