queue,user,id,name,started_time,peek,cpu_seconds,memory_seconds,time_elapsed
root.credit_ct,credit_ct,application_1528978566586_240074,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.rn=1(Stage-1),2018/6/18 15:51,2098,1522989,3128766574,1684100
root.hjdq,hjdq,application_1528978566586_249275,CHECK_TASK_province_CRM_DB.ITG_ORDER_ITEM_D_task_515c2a94-72eb-11e8-a67f-18c58a10ad18_77_20180613_0,2018/6/18 19:39,2093,663783,1363307629,669790
root.credit_ct,credit_ct,application_1528978566586_234321,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-1)",2018/6/18 12:48,2027,634483,1304592189,2136530
root.hjdq,hjdq,application_1528978566586_244202,CHECK_TASK_province_CRM_DB.ITG_ORD_PROD_INST_D_task_1c5e0b0a-72d2-11e8-a38d-18c58a10ad18_77_20180613_0,2018/6/18 16:42,2020,735770,1511100335,461127
root.credit_ct,credit_ct,application_1528978566586_248165,"CREATE TABLE TEMP_CRE...
t.prov_id,
t.day_id(Stage-1)",2018/6/18 19:34,2016,1039663,2142327505,383712
root.credit_ct,credit_ct,application_1528978566586_234210,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-1)",2018/6/18 12:44,2015,1029578,2118800364,1506844
root.credit_ct,credit_ct,application_1528978566586_238711,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.rn=1(Stage-1),2018/6/18 15:21,1999,533355,1099994022,493921
root.credit_ct,credit_ct,application_1528978566586_234058,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-1)",2018/6/18 12:43,1990,243542,500932961,364138
root.credit_ct,credit_ct,application_1528978566586_234233,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-1)",2018/6/18 12:44,1969,1139086,2341917445,2387899
root.hjdq,hjdq,application_1528978566586_248919,CHECK_TASK_province_CRM_DB.ITG_ORD_OFFER_INST_ATTR_D_task_dd64ec6e-72e7-11e8-a35b-18c58a10ad18_11_20180613_0,2018/6/18 19:27,1934,56933,118614219,217648
root.credit_ct,credit_ct,application_1528978566586_234203,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-1)",2018/6/18 12:43,1920,1316920,2710062190,1536284
root.hjdq,hjdq,application_1528978566586_221601,CHECK_TASK_bil01_BIL_DB.ITG_OTH_CDR_H_task_d8a5ca74-7272-11e8-ab3a-18c58a10ad18_33_20180615_0,2018/6/18 5:10,1913,163294,336456244,1043323
