pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,
svc12083,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,23,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
kube-system-influxdb-ingress--monitoring-influxdb,server172.11.3.57,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,24,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
kube-system-influxdb-ingress--monitoring-influxdb,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,1,1,0,,0,6981,0,,10,24,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc12300,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,25,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
kube-system-monitoring-grafana--monitoring-grafana,server172.11.3.57,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,26,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
kube-system-monitoring-grafana--monitoring-grafana,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,1,1,0,,0,6981,0,,10,26,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc10082,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,27,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
nebula-test-nebula-cd--nebula-cd,server172.11.76.23,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,28,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
nebula-test-nebula-cd--nebula-cd,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,1,1,0,,0,6981,0,,10,28,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc10001,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,29,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
risk-risk-control--risk-control,server172.11.3.64,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,30,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
risk-risk-control--risk-control,server172.11.43.60,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,30,2,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
risk-risk-control--risk-control,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,6981,0,,10,30,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc10005,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,31,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
risk-risk-data--risk-data,server172.11.12.11,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,32,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
risk-risk-data--risk-data,server172.11.43.23,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,32,2,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
risk-risk-data--risk-data,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,6981,0,,10,32,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc10003,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,33,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
risk-risk-front--risk-front,server172.11.21.60,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,34,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
risk-risk-front--risk-front,server172.11.3.65,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,34,2,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
risk-risk-front--risk-front,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,6981,0,,10,34,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc10006,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,35,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
risk-risk-manager--risk-manager,server172.11.21.58,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,36,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
risk-risk-manager--risk-manager,server172.11.3.61,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,36,2,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
risk-risk-manager--risk-manager,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,6981,0,,10,36,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc10004,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,37,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
risk-risk-rule-www.test.com-risk-rule,server172.11.21.61,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,38,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
risk-risk-rule-www.test.com-risk-rule,server172.11.43.61,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,38,2,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
risk-risk-rule-www.test.com-risk-rule,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,6981,0,,10,38,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc11040,FRONTEND,,,0,3,10240,1153,100311,484191,0,0,0,,,,,OPEN,,,,,,,,,10,39,0,,,,0,0,0,82,,,,0,0,1153,0,0,0,,0,82,1153,,,0,0,0,0,,,,,,,,
wanda-test-ngrinder-controller--ngrinder-controller,server172.11.3.60,0,0,0,3,,1153,100311,484191,,0,,0,0,0,0,no check,1,1,0,,,,,,10,40,1,,1153,,2,0,,82,,,,0,0,1153,0,0,0,0,,,,0,0,,,,,1052,,,0,0,0,0,
wanda-test-ngrinder-controller--ngrinder-controller,BACKEND,0,0,0,3,1024,1153,100311,484191,0,0,,0,0,0,0,UP,1,1,0,,0,6981,0,,10,40,0,,1153,,1,0,,82,,,,0,0,1153,0,0,0,,,,,0,0,0,0,0,0,1052,,,0,0,0,0,
svc11051,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,41,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
wanda-test-php-apache--php-apache,server172.11.12.6,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,42,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
wanda-test-php-apache--php-apache,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,1,1,0,,0,6981,0,,10,42,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc11021,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,43,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
wanda-test-riskcontrol--riskcontrol,server172.11.76.54,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,44,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
