application_id,status,submit_time,start_time,finished_time,allocate_time,total_time
application_1527220447442_435707,SUCCESS,2018/06/01 00:33:12,2018/06/01 00:37:32,2018/06/01 01:09:24,00:4:20,00:36:12,260,2172
application_1527220447442_437932,SUCCESS,2018/06/01 01:02:33,2018/06/01 01:06:33,2018/06/01 01:37:51,00:4:0,00:35:18,240,2118
application_1527220447442_436664,SUCCESS,2018/06/01 00:42:26,2018/06/01 00:48:06,2018/06/01 01:16:03,00:5:40,00:33:37,340,2017
application_1527220447442_452891,SUCCESS,2018/06/01 05:45:06,2018/06/01 05:52:02,2018/06/01 06:18:20,00:6:56,00:33:14,416,1994
application_1527220447442_442888,SUCCESS,2018/06/01 02:34:23,2018/06/01 02:38:22,2018/06/01 03:07:22,00:3:59,00:32:59,239,1979
application_1527220447442_435611,SUCCESS,2018/06/01 00:31:03,2018/06/01 00:34:54,2018/06/01 01:02:50,00:3:51,00:31:47,231,1907
application_1527220447442_449937,SUCCESS,2018/06/01 04:54:58,2018/06/01 04:56:58,2018/06/01 05:26:20,00:2:0,00:31:22,120,1882
application_1527220447442_437544,SUCCESS,2018/06/01 00:51:44,2018/06/01 00:56:07,2018/06/01 01:22:15,00:4:23,00:30:31,263,1831
application_1527220447442_452077,SUCCESS,2018/06/01 05:27:24,2018/06/01 05:33:08,2018/06/01 05:57:05,00:5:44,00:29:41,344,1781
application_1527220447442_442631,SUCCESS,2018/06/01 02:29:24,2018/06/01 02:33:29,2018/06/01 02:57:57,00:4:5,00:28:33,245,1713
application_1527220447442_444987,SUCCESS,2018/06/01 03:16:20,2018/06/01 03:21:58,2018/06/01 03:44:28,00:5:38,00:28:8,338,1688
application_1527220447442_435240,SUCCESS,2018/06/01 00:23:25,2018/06/01 00:28:01,2018/06/01 00:51:23,00:4:36,00:27:58,276,1678
application_1527220447442_441088,SUCCESS,2018/06/01 02:05:39,2018/06/01 02:06:26,2018/06/01 02:33:09,00:0:47,00:27:30,47,1650
application_1527220447442_433998,SUCCESS,2018/06/01 00:00:30,2018/06/01 00:01:42,2018/06/01 00:27:39,00:1:12,00:27:9,72,1629
application_1527220447442_451611,SUCCESS,2018/06/01 05:20:01,2018/06/01 05:24:25,2018/06/01 05:45:36,00:4:24,00:25:35,264,1535
application_1527220447442_434263,SUCCESS,2018/06/01 00:07:50,2018/06/01 00:09:11,2018/06/01 00:33:16,00:1:21,00:25:26,81,1526
application_1527220447442_450875,SUCCESS,2018/06/01 05:11:27,2018/06/01 05:18:43,2018/06/01 05:36:10,00:7:16,00:24:43,436,1483
application_1527220447442_438886,SUCCESS,2018/06/01 01:13:55,2018/06/01 01:18:26,2018/06/01 01:38:01,00:4:31,00:24:6,271,1446
application_1527220447442_453433,SUCCESS,2018/06/01 05:58:42,2018/06/01 06:02:31,2018/06/01 06:22:42,00:3:49,00:24:0,229,1440
application_1527220447442_440165,SUCCESS,2018/06/01 01:38:53,2018/06/01 01:40:54,2018/06/01 02:02:20,00:2:1,00:23:27,121,1407
application_1527220447442_453176,SUCCESS,2018/06/01 05:48:20,2018/06/01 05:56:00,2018/06/01 06:11:24,00:7:40,00:23:4,460,1384
application_1527220447442_452160,SUCCESS,2018/06/01 05:32:42,2018/06/01 05:37:30,2018/06/01 05:55:37,00:4:48,00:22:55,288,1375
application_1527220447442_453276,SUCCESS,2018/06/01 05:52:55,2018/06/01 05:57:48,2018/06/01 06:15:27,00:4:53,00:22:32,293,1352
application_1527220447442_453375,SUCCESS,2018/06/01 05:55:43,2018/06/01 05:59:37,2018/06/01 06:18:15,00:3:54,00:22:32,234,1352
application_1527220447442_441070,SUCCESS,2018/06/01 02:05:26,2018/06/01 02:06:27,2018/06/01 02:27:51,00:1:1,00:22:25,61,1345
application_1527220447442_450206,SUCCESS,2018/06/01 05:07:50,2018/06/01 05:10:41,2018/06/01 05:30:02,00:2:51,00:22:12,171,1332
application_1527220447442_447352,SUCCESS,2018/06/01 04:10:44,2018/06/01 04:16:04,2018/06/01 04:32:54,00:5:20,00:22:10,320,1330
application_1527220447442_452362,SUCCESS,2018/06/01 05:40:44,2018/06/01 05:45:57,2018/06/01 06:02:53,00:5:13,00:22:9,313,1329
application_1527220447442_453332,SUCCESS,2018/06/01 05:53:37,2018/06/01 05:57:56,2018/06/01 06:15:29,00:4:19,00:21:52,259,1312
application_1527220447442_450196,SUCCESS,2018/06/01 05:03:44,2018/06/01 05:05:52,2018/06/01 05:25:25,00:2:8,00:21:41,128,1301
application_1527220447442_448834,SUCCESS,2018/06/01 04:32:11,2018/06/01 04:34:11,2018/06/01 04:53:22,00:2:0,00:21:11,120,1271
application_1527220447442_449579,SUCCESS,2018/06/01 04:47:44,2018/06/01 04:54:24,2018/06/01 05:08:49,00:6:40,00:21:5,400,1265
application_1527220447442_451830,SUCCESS,2018/06/01 05:25:07,2018/06/01 05:30:11,2018/06/01 05:46:02,00:5:4,00:20:55,304,1255
application_1527220447442_437579,SUCCESS,2018/06/01 00:53:52,2018/06/01 00:56:28,2018/06/01 01:14:18,00:2:36,00:20:26,156,1226
application_1527220447442_451731,SUCCESS,2018/06/01 05:22:49,2018/06/01 05:29:32,2018/06/01 05:42:34,00:6:43,00:19:45,403,1185
application_1527220447442_449280,SUCCESS,2018/06/01 04:45:10,2018/06/01 04:51:32,2018/06/01 05:04:41,00:6:22,00:19:31,382,1171
application_1527220447442_450606,SUCCESS,2018/06/01 05:10:23,2018/06/01 05:23:12,2018/06/01 05:29:41,00:12:49,00:19:18,769,1158
application_1527220447442_449537,SUCCESS,2018/06/01 04:46:51,2018/06/01 04:52:20,2018/06/01 05:05:56,00:5:29,00:19:5,329,1145
application_1527220447442_451970,SUCCESS,2018/06/01 05:25:04,2018/06/01 05:30:14,2018/06/01 05:43:49,00:5:10,00:18:45,310,1125
application_1527220447442_452355,SUCCESS,2018/06/01 05:38:20,2018/06/01 05:42:47,2018/06/01 05:57:04,00:4:27,00:18:44,267,1124
application_1527220447442_442246,SUCCESS,2018/06/01 02:20:52,2018/06/01 02:26:06,2018/06/01 02:39:29,00:5:14,00:18:37,314,1117
application_1527220447442_451268,SUCCESS,2018/06/01 05:13:59,2018/06/01 05:20:06,2018/06/01 05:32:30,00:6:7,00:18:31,367,1111
application_1527220447442_443726,SUCCESS,2018/06/01 02:57:55,2018/06/01 02:59:19,2018/06/01 03:16:06,00:1:24,00:18:11,84,1091
application_1527220447442_453455,SUCCESS,2018/06/01 05:58:53,2018/06/01 06:03:01,2018/06/01 06:17:01,00:4:8,00:18:8,248,1088
application_1527220447442_452834,SUCCESS,2018/06/01 05:43:49,2018/06/01 05:50:30,2018/06/01 06:01:49,00:6:41,00:18:0,401,1080
application_1527220447442_452229,SUCCESS,2018/06/01 05:31:41,2018/06/01 05:36:08,2018/06/01 05:49:30,00:4:27,00:17:49,267,1069
application_1527220447442_453607,SUCCESS,2018/06/01 06:03:32,2018/06/01 06:06:40,2018/06/01 06:21:12,00:3:8,00:17:40,188,1060
application_1527220447442_455297,SUCCESS,2018/06/01 06:21:39,2018/06/01 06:26:58,2018/06/01 06:39:13,00:5:19,00:17:34,319,1054
application_1527220447442_451840,SUCCESS,2018/06/01 05:22:57,2018/06/01 05:28:50,2018/06/01 05:40:25,00:5:53,00:17:28,353,1048
application_1527220447442_455296,SUCCESS,2018/06/01 06:21:38,2018/06/01 06:26:56,2018/06/01 06:39:06,00:5:18,00:17:28,318,1048
application_1527220447442_450685,SUCCESS,2018/06/01 05:12:18,2018/06/01 05:18:48,2018/06/01 05:29:42,00:6:30,00:17:24,390,1044
application_1527220447442_452631,SUCCESS,2018/06/01 05:42:25,2018/06/01 05:49:33,2018/06/01 05:58:53,00:7:8,00:16:28,428,988
application_1527220447442_449554,SUCCESS,2018/06/01 04:47:43,2018/06/01 04:53:24,2018/06/01 05:04:05,00:5:41,00:16:22,341,982
application_1527220447442_436109,SUCCESS,2018/06/01 00:37:54,2018/06/01 00:41:27,2018/06/01 00:54:12,00:3:33,00:16:18,213,978
application_1527220447442_451273,SUCCESS,2018/06/01 05:15:59,2018/06/01 05:21:41,2018/06/01 05:32:16,00:5:42,00:16:17,342,977
application_1527220447442_450617,SUCCESS,2018/06/01 05:08:44,2018/06/01 05:12:22,2018/06/01 05:24:48,00:3:38,00:16:4,218,964
application_1527220447442_455726,SUCCESS,2018/06/01 06:30:39,2018/06/01 06:37:44,2018/06/01 06:46:42,00:7:5,00:16:3,425,963
application_1527220447442_448452,SUCCESS,2018/06/01 04:22:55,2018/06/01 04:27:47,2018/06/01 04:38:54,00:4:52,00:15:59,292,959
application_1527220447442_450578,SUCCESS,2018/06/01 05:08:34,2018/06/01 05:12:21,2018/06/01 05:24:32,00:3:47,00:15:58,227,958
application_1527220447442_453675,SUCCESS,2018/06/01 06:07:32,2018/06/01 06:12:33,2018/06/01 06:23:29,00:5:1,00:15:57,301,957
application_1527220447442_456222,SUCCESS,2018/06/01 06:43:49,2018/06/01 06:48:34,2018/06/01 06:59:44,00:4:45,00:15:55,285,955
application_1527220447442_450972,SUCCESS,2018/06/01 05:11:29,2018/06/01 05:18:30,2018/06/01 05:27:23,00:7:1,00:15:54,421,954
application_1527220447442_455755,SUCCESS,2018/06/01 06:31:07,2018/06/01 06:37:43,2018/06/01 06:46:47,00:6:36,00:15:40,396,940
application_1527220447442_452248,SUCCESS,2018/06/01 05:33:11,2018/06/01 05:39:22,2018/06/01 05:48:43,00:6:11,00:15:32,371,932
application_1527220447442_451005,SUCCESS,2018/06/01 05:11:54,2018/06/01 05:19:18,2018/06/01 05:27:22,00:7:24,00:15:28,444,928
application_1527220447442_450796,SUCCESS,2018/06/01 05:10:30,2018/06/01 05:16:56,2018/06/01 05:25:58,00:6:26,00:15:28,386,928
application_1527220447442_452943,SUCCESS,2018/06/01 05:46:45,2018/06/01 05:53:33,2018/06/01 06:02:13,00:6:48,00:15:28,408,928
application_1527220447442_440562,SUCCESS,2018/06/01 01:47:03,2018/06/01 01:52:20,2018/06/01 02:02:24,00:5:17,00:15:21,317,921
application_1527220447442_452886,SUCCESS,2018/06/01 05:47:24,2018/06/01 05:55:45,2018/06/01 06:02:45,00:8:21,00:15:21,501,921
application_1527220447442_450591,SUCCESS,2018/06/01 05:10:47,2018/06/01 05:17:00,2018/06/01 05:26:06,00:6:13,00:15:19,373,919
application_1527220447442_450691,SUCCESS,2018/06/01 05:10:43,2018/06/01 05:16:58,2018/06/01 05:26:02,00:6:15,00:15:19,375,919
application_1527220447442_450887,SUCCESS,2018/06/01 05:10:48,2018/06/01 05:17:29,2018/06/01 05:26:06,00:6:41,00:15:18,401,918
application_1527220447442_452609,SUCCESS,2018/06/01 05:41:51,2018/06/01 05:46:50,2018/06/01 05:56:56,00:4:59,00:15:5,299,905
application_1527220447442_439866,SUCCESS,2018/06/01 01:33:29,2018/06/01 01:34:35,2018/06/01 01:48:26,00:1:6,00:14:57,66,897
application_1527220447442_452625,SUCCESS,2018/06/01 05:42:31,2018/06/01 05:48:10,2018/06/01 05:57:26,00:5:39,00:14:55,339,895
application_1527220447442_453285,SUCCESS,2018/06/01 05:52:53,2018/06/01 05:57:54,2018/06/01 06:07:43,00:5:1,00:14:50,301,890
application_1527220447442_450748,SUCCESS,2018/06/01 05:10:21,2018/06/01 05:17:01,2018/06/01 05:25:04,00:6:40,00:14:43,400,883
application_1527220447442_442551,SUCCESS,2018/06/01 02:26:00,2018/06/01 02:31:38,2018/06/01 02:40:42,00:5:38,00:14:42,338,882
application_1527220447442_452618,SUCCESS,2018/06/01 05:42:57,2018/06/01 05:50:13,2018/06/01 05:57:39,00:7:16,00:14:42,436,882
application_1527220447442_450272,SUCCESS,2018/06/01 05:10:21,2018/06/01 05:17:00,2018/06/01 05:25:03,00:6:39,00:14:42,399,882
application_1527220447442_450579,SUCCESS,2018/06/01 05:10:21,2018/06/01 05:16:46,2018/06/01 05:25:03,00:6:25,00:14:42,385,882
application_1527220447442_452632,SUCCESS,2018/06/01 05:43:49,2018/06/01 05:50:13,2018/06/01 05:58:24,00:6:24,00:14:35,384,875
application_1527220447442_452118,SUCCESS,2018/06/01 05:28:20,2018/06/01 05:32:53,2018/06/01 05:42:52,00:4:33,00:14:32,273,872
application_1527220447442_452280,SUCCESS,2018/06/01 05:36:06,2018/06/01 05:40:34,2018/06/01 05:50:32,00:4:28,00:14:26,268,866
