application_id,status,submit_time,start_time,finished_time,allocate_time,total_time,allocate_seconds,total_seconds
application_1527220447442_56320,SUCCESS,2018/05/26 07:03:26,2018/05/26 07:10:26,2018/05/26 07:14:01,00:7:0,00:10:35,420,635
application_1527220447442_56663,SUCCESS,2018/05/26 07:11:11,2018/05/26 07:18:11,2018/05/26 07:20:33,00:7:0,00:9:22,420,562
application_1527220447442_54189,SUCCESS,2018/05/26 06:32:37,2018/05/26 06:39:37,2018/05/26 06:44:26,00:7:0,00:11:49,420,709
application_1527220447442_61917,SUCCESS,2018/05/26 08:21:04,2018/05/26 08:28:04,2018/05/26 08:33:34,00:7:0,00:12:30,420,750
application_1527220447442_61916,SUCCESS,2018/05/26 08:21:04,2018/05/26 08:28:04,2018/05/26 08:30:44,00:7:0,00:9:40,420,580
application_1527220447442_57957,SUCCESS,2018/05/26 07:30:34,2018/05/26 07:37:34,2018/05/26 07:40:52,00:7:0,00:10:18,420,618
application_1527220447442_56668,SUCCESS,2018/05/26 07:11:11,2018/05/26 07:18:11,2018/05/26 07:20:44,00:7:0,00:9:33,420,573
application_1527220447442_57923,SUCCESS,2018/05/26 07:30:34,2018/05/26 07:37:34,2018/05/26 07:40:52,00:7:0,00:10:18,420,618
application_1527220447442_58084,SUCCESS,2018/05/26 07:34:14,2018/05/26 07:41:14,2018/05/26 07:45:52,00:7:0,00:11:38,420,698
application_1527220447442_57752,SUCCESS,2018/05/26 07:29:50,2018/05/26 07:36:50,2018/05/26 07:39:56,00:7:0,00:10:6,420,606
application_1527220447442_56619,SUCCESS,2018/05/26 07:11:11,2018/05/26 07:18:11,2018/05/26 07:20:44,00:7:0,00:9:33,420,573
application_1527220447442_56616,SUCCESS,2018/05/26 07:11:11,2018/05/26 07:18:11,2018/05/26 07:25:26,00:7:0,00:14:15,420,855
application_1527220447442_56319,SUCCESS,2018/05/26 07:03:26,2018/05/26 07:10:26,2018/05/26 07:14:01,00:7:0,00:10:35,420,635
application_1527220447442_56697,SUCCESS,2018/05/26 07:11:12,2018/05/26 07:18:12,2018/05/26 07:20:45,00:7:0,00:9:33,420,573
application_1527220447442_57772,SUCCESS,2018/05/26 07:29:57,2018/05/26 07:36:57,2018/05/26 07:40:07,00:7:0,00:10:10,420,610
application_1527220447442_57771,SUCCESS,2018/05/26 07:29:58,2018/05/26 07:36:57,2018/05/26 07:40:07,00:6:59,00:10:9,419,609
application_1527220447442_56601,SUCCESS,2018/05/26 07:11:10,2018/05/26 07:18:09,2018/05/26 07:20:44,00:6:59,00:9:34,419,574
application_1527220447442_56684,SUCCESS,2018/05/26 07:11:12,2018/05/26 07:18:11,2018/05/26 07:20:46,00:6:59,00:9:34,419,574
application_1527220447442_56509,SUCCESS,2018/05/26 07:10:43,2018/05/26 07:17:42,2018/05/26 07:19:46,00:6:59,00:9:3,419,543
application_1527220447442_57782,SUCCESS,2018/05/26 07:29:58,2018/05/26 07:36:57,2018/05/26 07:40:07,00:6:59,00:10:9,419,609
application_1527220447442_56664,SUCCESS,2018/05/26 07:11:11,2018/05/26 07:18:10,2018/05/26 07:20:44,00:6:59,00:9:33,419,573
application_1527220447442_56673,SUCCESS,2018/05/26 07:11:11,2018/05/26 07:18:10,2018/05/26 07:20:45,00:6:59,00:9:34,419,574
application_1527220447442_56510,SUCCESS,2018/05/26 07:10:42,2018/05/26 07:17:41,2018/05/26 07:19:41,00:6:59,00:8:59,419,539
application_1527220447442_57971,SUCCESS,2018/05/26 07:30:48,2018/05/26 07:37:47,2018/05/26 07:40:53,00:6:59,00:10:5,419,605
application_1527220447442_56650,SUCCESS,2018/05/26 07:11:11,2018/05/26 07:18:10,2018/05/26 07:20:33,00:6:59,00:9:22,419,562
application_1527220447442_57781,SUCCESS,2018/05/26 07:30:27,2018/05/26 07:37:26,2018/05/26 07:40:51,00:6:59,00:10:24,419,624
application_1527220447442_54231,SUCCESS,2018/05/26 06:32:51,2018/05/26 06:39:50,2018/05/26 06:44:55,00:6:59,00:12:4,419,724
application_1527220447442_57999,SUCCESS,2018/05/26 07:30:48,2018/05/26 07:37:47,2018/05/26 07:40:53,00:6:59,00:10:5,419,605
application_1527220447442_58083,SUCCESS,2018/05/26 07:34:15,2018/05/26 07:41:14,2018/05/26 07:43:07,00:6:59,00:8:52,419,532
application_1527220447442_56649,SUCCESS,2018/05/26 07:11:11,2018/05/26 07:18:10,2018/05/26 07:20:45,00:6:59,00:9:34,419,574
application_1527220447442_40402,SUCCESS,2018/05/26 01:32:32,2018/05/26 01:39:31,2018/05/26 01:44:02,00:6:59,00:11:30,419,690
application_1527220447442_40407,SUCCESS,2018/05/26 01:32:33,2018/05/26 01:39:32,2018/05/26 01:47:50,00:6:59,00:15:17,419,917
application_1527220447442_56667,SUCCESS,2018/05/26 07:11:12,2018/05/26 07:18:11,2018/05/26 07:20:45,00:6:59,00:9:33,419,573
application_1527220447442_57809,SUCCESS,2018/05/26 07:30:27,2018/05/26 07:37:26,2018/05/26 07:40:51,00:6:59,00:10:24,419,624
application_1527220447442_63007,SUCCESS,2018/05/26 08:45:29,2018/05/26 08:52:28,2018/05/26 08:54:30,00:6:59,00:9:1,419,541
application_1527220447442_58086,SUCCESS,2018/05/26 07:34:16,2018/05/26 07:41:15,2018/05/26 07:43:07,00:6:59,00:8:51,419,531
application_1527220447442_54233,SUCCESS,2018/05/26 06:32:51,2018/05/26 06:39:50,2018/05/26 06:44:55,00:6:59,00:12:4,419,724
application_1527220447442_63008,SUCCESS,2018/05/26 08:45:29,2018/05/26 08:52:28,2018/05/26 08:54:30,00:6:59,00:9:1,419,541
application_1527220447442_56693,SUCCESS,2018/05/26 07:11:12,2018/05/26 07:18:10,2018/05/26 07:20:44,00:6:58,00:9:32,418,572
application_1527220447442_56678,SUCCESS,2018/05/26 07:11:12,2018/05/26 07:18:10,2018/05/26 07:20:46,00:6:58,00:9:34,418,574
application_1527220447442_57807,SUCCESS,2018/05/26 07:30:06,2018/05/26 07:37:04,2018/05/26 07:40:16,00:6:58,00:10:10,418,610
application_1527220447442_56698,SUCCESS,2018/05/26 07:11:12,2018/05/26 07:18:10,2018/05/26 07:20:44,00:6:58,00:9:32,418,572
application_1527220447442_40406,SUCCESS,2018/05/26 01:32:33,2018/05/26 01:39:31,2018/05/26 01:56:45,00:6:58,00:24:12,418,1452
application_1527220447442_56699,SUCCESS,2018/05/26 07:11:12,2018/05/26 07:18:10,2018/05/26 07:20:44,00:6:58,00:9:32,418,572
application_1527220447442_56538,SUCCESS,2018/05/26 07:11:11,2018/05/26 07:18:09,2018/05/26 07:20:44,00:6:58,00:9:33,418,573
application_1527220447442_54195,SUCCESS,2018/05/26 06:32:37,2018/05/26 06:39:35,2018/05/26 06:44:28,00:6:58,00:11:51,418,711
application_1527220447442_57856,SUCCESS,2018/05/26 07:30:28,2018/05/26 07:37:26,2018/05/26 07:40:48,00:6:58,00:10:20,418,620
application_1527220447442_56696,SUCCESS,2018/05/26 07:11:12,2018/05/26 07:18:10,2018/05/26 07:20:46,00:6:58,00:9:34,418,574
application_1527220447442_57805,SUCCESS,2018/05/26 07:30:06,2018/05/26 07:37:04,2018/05/26 07:40:16,00:6:58,00:10:10,418,610
application_1527220447442_56681,SUCCESS,2018/05/26 07:11:12,2018/05/26 07:18:10,2018/05/26 07:20:44,00:6:58,00:9:32,418,572
application_1527220447442_61919,SUCCESS,2018/05/26 08:21:08,2018/05/26 08:28:06,2018/05/26 08:33:35,00:6:58,00:12:27,418,747
application_1527220447442_56680,SUCCESS,2018/05/26 07:11:12,2018/05/26 07:18:10,2018/05/26 07:20:45,00:6:58,00:9:33,418,573
application_1527220447442_54190,SUCCESS,2018/05/26 06:32:37,2018/05/26 06:39:35,2018/05/26 06:44:28,00:6:58,00:11:51,418,711
application_1527220447442_56656,SUCCESS,2018/05/26 07:11:11,2018/05/26 07:18:09,2018/05/26 07:20:44,00:6:58,00:9:33,418,573
application_1527220447442_56642,SUCCESS,2018/05/26 07:11:11,2018/05/26 07:18:09,2018/05/26 07:20:45,00:6:58,00:9:34,418,574
application_1527220447442_56533,SUCCESS,2018/05/26 07:10:47,2018/05/26 07:17:45,2018/05/26 07:19:57,00:6:58,00:9:10,418,550
application_1527220447442_56691,SUCCESS,2018/05/26 07:11:12,2018/05/26 07:18:10,2018/05/26 07:20:44,00:6:58,00:9:32,418,572
application_1527220447442_40399,SUCCESS,2018/05/26 01:32:33,2018/05/26 01:39:31,2018/05/26 01:44:02,00:6:58,00:11:29,418,689
application_1527220447442_54197,SUCCESS,2018/05/26 06:32:37,2018/05/26 06:39:35,2018/05/26 06:44:28,00:6:58,00:11:51,418,711
application_1527220447442_40412,SUCCESS,2018/05/26 01:32:33,2018/05/26 01:39:31,2018/05/26 01:47:50,00:6:58,00:15:17,418,917
application_1527220447442_40400,SUCCESS,2018/05/26 01:32:33,2018/05/26 01:39:31,2018/05/26 01:44:02,00:6:58,00:11:29,418,689
application_1527220447442_57808,SUCCESS,2018/05/26 07:30:06,2018/05/26 07:37:04,2018/05/26 07:40:16,00:6:58,00:10:10,418,610
application_1527220447442_56682,SUCCESS,2018/05/26 07:11:12,2018/05/26 07:18:10,2018/05/26 07:20:46,00:6:58,00:9:34,418,574
application_1527220447442_56661,SUCCESS,2018/05/26 07:11:11,2018/05/26 07:18:09,2018/05/26 07:20:44,00:6:58,00:9:33,418,573
application_1527220447442_54234,SUCCESS,2018/05/26 06:32:52,2018/05/26 06:39:50,2018/05/26 06:44:55,00:6:58,00:12:3,418,723
application_1527220447442_64350,SUCCESS,2018/05/26 09:16:23,2018/05/26 09:23:21,2018/05/26 09:24:47,00:6:58,00:8:24,418,504
application_1527220447442_56688,SUCCESS,2018/05/26 07:11:13,2018/05/26 07:18:11,2018/05/26 07:20:44,00:6:58,00:9:31,418,571
