application_id,status,submit_time,start_time,finished_time,allocate_time,total_time,allocate_seconds,total_seconds
application_1529601806040_161914,SUCCESS,2018/06/25 14:49:55,2018/06/25 14:58:35,2018/06/25 14:59:56,00:8:40,00:10:1,520,601
application_1529601806040_185513,SUCCESS,2018/06/25 21:41:23,2018/06/25 21:50:03,2018/06/25 21:52:34,00:8:40,00:11:11,520,671
application_1529601806040_173189,SUCCESS,2018/06/25 18:43:47,2018/06/25 18:52:17,2018/06/25 18:53:49,00:8:30,00:10:2,510,602
application_1529601806040_185765,SUCCESS,2018/06/25 21:43:29,2018/06/25 21:51:56,2018/06/25 21:55:43,00:8:27,00:12:14,507,734
application_1529601806040_187783,SUCCESS,2018/06/25 22:00:37,2018/06/25 22:09:03,2018/06/25 22:19:56,00:8:26,00:19:19,506,1159
application_1529601806040_185933,SUCCESS,2018/06/25 21:43:35,2018/06/25 21:52:00,2018/06/25 21:53:16,00:8:25,00:9:41,505,581
application_1529601806040_163590,SUCCESS,2018/06/25 15:41:27,2018/06/25 15:49:44,2018/06/25 15:51:30,00:8:17,00:10:3,497,603
application_1529601806040_184824,SUCCESS,2018/06/25 21:41:04,2018/06/25 21:49:18,2018/06/25 21:51:15,00:8:14,00:10:11,494,611
application_1529601806040_185901,SUCCESS,2018/06/25 21:43:30,2018/06/25 21:51:44,2018/06/25 21:53:12,00:8:14,00:9:42,494,582
application_1529601806040_185715,SUCCESS,2018/06/25 21:43:28,2018/06/25 21:51:42,2018/06/25 21:59:44,00:8:14,00:16:16,494,976
application_1529601806040_185918,SUCCESS,2018/06/25 21:43:31,2018/06/25 21:51:44,2018/06/25 21:53:18,00:8:13,00:9:47,493,587
application_1529601806040_185885,SUCCESS,2018/06/25 21:43:30,2018/06/25 21:51:43,2018/06/25 21:52:44,00:8:13,00:9:14,493,554
application_1529601806040_185892,SUCCESS,2018/06/25 21:43:31,2018/06/25 21:51:44,2018/06/25 21:57:54,00:8:13,00:14:23,493,863
application_1529601806040_185773,SUCCESS,2018/06/25 21:43:54,2018/06/25 21:52:06,2018/06/25 21:54:50,00:8:12,00:10:56,492,656
application_1529601806040_185674,SUCCESS,2018/06/25 21:42:08,2018/06/25 21:50:19,2018/06/25 21:53:10,00:8:11,00:11:2,491,662
application_1529601806040_185922,SUCCESS,2018/06/25 21:43:32,2018/06/25 21:51:43,2018/06/25 21:53:17,00:8:11,00:9:45,491,585
application_1529601806040_173174,SUCCESS,2018/06/25 18:44:08,2018/06/25 18:52:18,2018/06/25 18:53:02,00:8:10,00:8:54,490,534
application_1529601806040_185920,SUCCESS,2018/06/25 21:43:33,2018/06/25 21:51:42,2018/06/25 21:55:09,00:8:9,00:11:36,489,696
application_1529601806040_185732,SUCCESS,2018/06/25 21:43:29,2018/06/25 21:51:37,2018/06/25 21:53:13,00:8:8,00:9:44,488,584
application_1529601806040_185915,SUCCESS,2018/06/25 21:43:30,2018/06/25 21:51:38,2018/06/25 21:55:39,00:8:8,00:12:9,488,729
