application_id,status,submit_time,start_time,finished_time,allocate_time,total_time
application_1527220447442_456487,SUCCESS,2018/06/01 06:47:20,2018/06/01 06:53:23,2018/06/01 06:56:03,00:6:3,00:8:43
application_1527220447442_446290,SUCCESS,2018/06/01 03:48:23,2018/06/01 03:50:01,2018/06/01 03:57:06,00:1:38,00:8:43
application_1527220447442_443333,SUCCESS,2018/06/01 02:46:28,2018/06/01 02:48:34,2018/06/01 02:55:11,00:2:6,00:8:43
application_1527220447442_454742,SUCCESS,2018/06/01 06:16:06,2018/06/01 06:21:27,2018/06/01 06:24:49,00:5:21,00:8:43
application_1527220447442_449767,SUCCESS,2018/06/01 04:48:43,2018/06/01 04:54:33,2018/06/01 04:57:25,00:5:50,00:8:42
application_1527220447442_453350,SUCCESS,2018/06/01 05:54:17,2018/06/01 05:58:24,2018/06/01 06:02:59,00:4:7,00:8:42
application_1527220447442_449971,SUCCESS,2018/06/01 04:56:32,2018/06/01 05:00:39,2018/06/01 05:05:14,00:4:7,00:8:42
application_1527220447442_450739,SUCCESS,2018/06/01 05:11:17,2018/06/01 05:18:26,2018/06/01 05:19:58,00:7:9,00:8:41
application_1527220447442_454857,SUCCESS,2018/06/01 06:15:47,2018/06/01 06:19:37,2018/06/01 06:24:28,00:3:50,00:8:41
application_1527220447442_448073,SUCCESS,2018/06/01 04:17:21,2018/06/01 04:22:10,2018/06/01 04:26:02,00:4:49,00:8:41
application_1527220447442_442913,SUCCESS,2018/06/01 02:36:07,2018/06/01 02:41:37,2018/06/01 02:44:47,00:5:30,00:8:40
application_1527220447442_439326,SUCCESS,2018/06/01 01:21:59,2018/06/01 01:27:12,2018/06/01 01:30:39,00:5:13,00:8:40
application_1527220447442_456238,SUCCESS,2018/06/01 06:45:52,2018/06/01 06:53:06,2018/06/01 06:54:32,00:7:14,00:8:40
application_1527220447442_453383,SUCCESS,2018/06/01 05:59:42,2018/06/01 06:05:08,2018/06/01 06:08:21,00:5:26,00:8:39
application_1527220447442_448482,SUCCESS,2018/06/01 04:22:53,2018/06/01 04:27:47,2018/06/01 04:31:32,00:4:54,00:8:39
