application_id,status,submit_time,start_time,finished_time,allocate_time,total_time
application_1527220447442_46132,SUCCESS,2018/05/26 04:05:57,2018/05/26 06:08:32,2018/05/26 06:15:09,02:2:35,02:9:12
application_1527220447442_46136,SUCCESS,2018/05/26 04:06:05,2018/05/26 06:08:31,2018/05/26 06:15:09,02:2:26,02:9:4
application_1527220447442_46187,SUCCESS,2018/05/26 04:08:53,2018/05/26 06:08:32,2018/05/26 06:15:09,01:59:39,02:6:16
application_1527220447442_46896,SUCCESS,2018/05/26 04:20:47,2018/05/26 06:08:30,2018/05/26 06:12:37,01:47:43,01:51:50
application_1527220447442_42111,SUCCESS,2018/05/26 02:06:08,2018/05/26 03:12:28,2018/05/26 03:55:22,01:6:20,01:49:14
application_1527220447442_46991,SUCCESS,2018/05/26 04:25:19,2018/05/26 06:08:31,2018/05/26 06:12:37,01:43:12,01:47:18
application_1527220447442_42644,SUCCESS,2018/05/26 02:22:19,2018/05/26 03:54:01,2018/05/26 04:09:00,01:31:42,01:46:41
application_1527220447442_42532,SUCCESS,2018/05/26 02:22:20,2018/05/26 03:54:00,2018/05/26 04:09:00,01:31:40,01:46:40
application_1527220447442_44133,SUCCESS,2018/05/26 03:05:29,2018/05/26 04:09:15,2018/05/26 04:50:32,01:3:46,01:45:3
application_1527220447442_42113,SUCCESS,2018/05/26 02:06:23,2018/05/26 03:12:28,2018/05/26 03:50:23,01:6:5,01:44:0
application_1527220447442_47064,SUCCESS,2018/05/26 04:28:43,2018/05/26 06:08:30,2018/05/26 06:12:37,01:39:47,01:43:54
application_1527220447442_42962,SUCCESS,2018/05/26 02:29:54,2018/05/26 03:53:47,2018/05/26 04:13:39,01:23:53,01:43:45
application_1527220447442_47070,SUCCESS,2018/05/26 04:28:54,2018/05/26 06:08:30,2018/05/26 06:12:37,01:39:36,01:43:43
application_1527220447442_47071,SUCCESS,2018/05/26 04:28:57,2018/05/26 06:08:30,2018/05/26 06:12:37,01:39:33,01:43:40
application_1527220447442_47072,SUCCESS,2018/05/26 04:28:57,2018/05/26 06:08:32,2018/05/26 06:12:37,01:39:35,01:43:40
application_1527220447442_42151,SUCCESS,2018/05/26 02:12:49,2018/05/26 03:12:29,2018/05/26 03:55:45,00:59:40,01:42:56
application_1527220447442_42458,SUCCESS,2018/05/26 02:22:08,2018/05/26 03:54:02,2018/05/26 04:04:18,01:31:54,01:42:10
application_1527220447442_43014,SUCCESS,2018/05/26 02:31:39,2018/05/26 03:53:52,2018/05/26 04:13:42,01:22:13,01:42:3
application_1527220447442_47078,SUCCESS,2018/05/26 04:31:27,2018/05/26 06:08:20,2018/05/26 06:12:37,01:36:53,01:41:10
application_1527220447442_43021,SUCCESS,2018/05/26 02:32:23,2018/05/26 03:53:52,2018/05/26 04:13:32,01:21:29,01:41:9
application_1527220447442_43019,SUCCESS,2018/05/26 02:32:23,2018/05/26 03:53:52,2018/05/26 04:13:32,01:21:29,01:41:9
application_1527220447442_42924,SUCCESS,2018/05/26 02:28:37,2018/05/26 03:53:47,2018/05/26 04:09:28,01:25:10,01:40:51
application_1527220447442_42867,SUCCESS,2018/05/26 02:25:25,2018/05/26 03:12:53,2018/05/26 04:05:45,00:47:28,01:40:20
application_1527220447442_42856,SUCCESS,2018/05/26 02:25:26,2018/05/26 03:12:53,2018/05/26 04:05:45,00:47:27,01:40:19
application_1527220447442_42863,SUCCESS,2018/05/26 02:25:26,2018/05/26 03:12:53,2018/05/26 04:05:45,00:47:27,01:40:19
application_1527220447442_42862,SUCCESS,2018/05/26 02:25:26,2018/05/26 03:12:52,2018/05/26 04:05:45,00:47:26,01:40:19
application_1527220447442_42846,SUCCESS,2018/05/26 02:25:27,2018/05/26 03:12:53,2018/05/26 04:05:45,00:47:26,01:40:18
application_1527220447442_42859,SUCCESS,2018/05/26 02:25:27,2018/05/26 03:12:54,2018/05/26 04:05:45,00:47:27,01:40:18
application_1527220447442_42858,SUCCESS,2018/05/26 02:25:27,2018/05/26 03:12:52,2018/05/26 04:05:45,00:47:25,01:40:18
application_1527220447442_42855,SUCCESS,2018/05/26 02:25:27,2018/05/26 03:12:53,2018/05/26 04:05:45,00:47:26,01:40:18
application_1527220447442_42868,SUCCESS,2018/05/26 02:25:25,2018/05/26 03:12:50,2018/05/26 04:05:42,00:47:25,01:40:17
application_1527220447442_42934,SUCCESS,2018/05/26 02:28:37,2018/05/26 03:53:47,2018/05/26 04:08:47,01:25:10,01:40:10
application_1527220447442_47182,SUCCESS,2018/05/26 04:32:32,2018/05/26 06:08:20,2018/05/26 06:12:37,01:35:48,01:40:5
application_1527220447442_42870,SUCCESS,2018/05/26 02:25:26,2018/05/26 03:12:54,2018/05/26 04:05:10,00:47:28,01:39:44
application_1527220447442_42869,SUCCESS,2018/05/26 02:25:26,2018/05/26 03:12:54,2018/05/26 04:05:10,00:47:28,01:39:44
application_1527220447442_42852,SUCCESS,2018/05/26 02:25:26,2018/05/26 03:12:54,2018/05/26 04:05:10,00:47:28,01:39:44
application_1527220447442_42853,SUCCESS,2018/05/26 02:25:26,2018/05/26 03:12:54,2018/05/26 04:05:09,00:47:28,01:39:43
application_1527220447442_42850,SUCCESS,2018/05/26 02:25:26,2018/05/26 03:12:54,2018/05/26 04:05:09,00:47:28,01:39:43
application_1527220447442_42857,SUCCESS,2018/05/26 02:25:27,2018/05/26 03:12:54,2018/05/26 04:05:10,00:47:27,01:39:43
application_1527220447442_42865,SUCCESS,2018/05/26 02:25:27,2018/05/26 03:12:54,2018/05/26 04:05:10,00:47:27,01:39:43
application_1527220447442_42851,SUCCESS,2018/05/26 02:25:27,2018/05/26 03:12:54,2018/05/26 04:05:10,00:47:27,01:39:43
application_1527220447442_42951,SUCCESS,2018/05/26 02:29:22,2018/05/26 03:53:47,2018/05/26 04:08:35,01:24:25,01:39:13
application_1527220447442_42115,SUCCESS,2018/05/26 02:06:27,2018/05/26 03:12:28,2018/05/26 03:45:39,01:6:1,01:39:12
application_1527220447442_42953,SUCCESS,2018/05/26 02:29:47,2018/05/26 03:53:47,2018/05/26 04:08:30,01:24:0,01:38:43
application_1527220447442_42960,SUCCESS,2018/05/26 02:29:52,2018/05/26 03:53:47,2018/05/26 04:08:30,01:23:55,01:38:38
