application_id,status,submit_time,start_time,finished_time,allocate_time,total_time,allocate_seconds,total_seconds
application_1527220447442_855803,SUCCESS,2018/06/08 00:11:45,2018/06/08 00:25:01,2018/06/08 00:33:20,00:13:16,00:21:35,796,1295
application_1527220447442_855428,SUCCESS,2018/06/08 00:01:15,2018/06/08 00:03:04,2018/06/08 00:10:42,00:1:49,00:9:27,109,567
application_1527220447442_855440,SUCCESS,2018/06/08 00:01:22,2018/06/08 00:03:55,2018/06/08 00:10:20,00:2:33,00:8:58,153,538
application_1527220447442_855463,SUCCESS,2018/06/08 00:04:59,2018/06/08 00:06:39,2018/06/08 00:12:46,00:1:40,00:7:47,100,467
application_1527220447442_860276,SUCCESS,2018/06/08 01:49:40,2018/06/08 01:51:07,2018/06/08 01:56:58,00:1:27,00:7:18,87,438
application_1527220447442_855462,SUCCESS,2018/06/08 00:05:08,2018/06/08 00:07:22,2018/06/08 00:12:12,00:2:14,00:7:4,134,424
application_1527220447442_855464,SUCCESS,2018/06/08 00:05:09,2018/06/08 00:06:42,2018/06/08 00:12:08,00:1:33,00:6:59,93,419
application_1527220447442_855461,SUCCESS,2018/06/08 00:05:11,2018/06/08 00:06:39,2018/06/08 00:12:08,00:1:28,00:6:57,88,417
application_1527220447442_855448,SUCCESS,2018/06/08 00:02:09,2018/06/08 00:03:44,2018/06/08 00:09:04,00:1:35,00:6:55,95,415
application_1527220447442_855785,SUCCESS,2018/06/08 00:11:13,2018/06/08 00:12:13,2018/06/08 00:18:01,00:1:0,00:6:48,60,408
application_1527220447442_880172,SUCCESS,2018/06/08 10:47:37,2018/06/08 10:51:20,2018/06/08 10:54:19,00:3:43,00:6:42,223,402
application_1527220447442_855569,SUCCESS,2018/06/08 00:06:43,2018/06/08 00:08:11,2018/06/08 00:13:25,00:1:28,00:6:42,88,402
application_1527220447442_858482,SUCCESS,2018/06/08 01:04:09,2018/06/08 01:05:40,2018/06/08 01:10:50,00:1:31,00:6:41,91,401
application_1527220447442_860131,SUCCESS,2018/06/08 01:45:09,2018/06/08 01:47:15,2018/06/08 01:51:36,00:2:6,00:6:27,126,387
application_1527220447442_858843,SUCCESS,2018/06/08 01:13:55,2018/06/08 01:16:40,2018/06/08 01:20:19,00:2:45,00:6:24,165,384
application_1527220447442_870452,SUCCESS,2018/06/08 06:39:08,2018/06/08 06:42:42,2018/06/08 06:45:25,00:3:34,00:6:17,214,377
application_1527220447442_855467,SUCCESS,2018/06/08 00:04:33,2018/06/08 00:05:55,2018/06/08 00:10:44,00:1:22,00:6:11,82,371
application_1527220447442_856025,SUCCESS,2018/06/08 00:19:07,2018/06/08 00:19:49,2018/06/08 00:25:18,00:0:42,00:6:11,42,371
application_1527220447442_855571,SUCCESS,2018/06/08 00:07:48,2018/06/08 00:09:33,2018/06/08 00:13:56,00:1:45,00:6:8,105,368
application_1527220447442_855563,SUCCESS,2018/06/08 00:05:59,2018/06/08 00:07:50,2018/06/08 00:12:04,00:1:51,00:6:5,111,365
application_1527220447442_858522,SUCCESS,2018/06/08 01:04:12,2018/06/08 01:05:35,2018/06/08 01:10:15,00:1:23,00:6:3,83,363
application_1527220447442_855452,SUCCESS,2018/06/08 00:02:32,2018/06/08 00:03:48,2018/06/08 00:08:34,00:1:16,00:6:2,76,362
application_1527220447442_860308,SUCCESS,2018/06/08 01:52:32,2018/06/08 01:55:05,2018/06/08 01:58:34,00:2:33,00:6:2,153,362
application_1527220447442_855455,SUCCESS,2018/06/08 00:02:44,2018/06/08 00:03:57,2018/06/08 00:08:45,00:1:13,00:6:1,73,361
application_1527220447442_858976,SUCCESS,2018/06/08 01:20:43,2018/06/08 01:21:40,2018/06/08 01:26:44,00:0:57,00:6:1,57,361
application_1527220447442_859388,SUCCESS,2018/06/08 01:32:26,2018/06/08 01:34:17,2018/06/08 01:38:22,00:1:51,00:5:56,111,356
application_1527220447442_855814,SUCCESS,2018/06/08 00:11:57,2018/06/08 00:13:09,2018/06/08 00:17:50,00:1:12,00:5:53,72,353
application_1527220447442_858517,SUCCESS,2018/06/08 01:04:24,2018/06/08 01:05:39,2018/06/08 01:10:17,00:1:15,00:5:53,75,353
application_1527220447442_858763,SUCCESS,2018/06/08 01:10:03,2018/06/08 01:13:48,2018/06/08 01:15:53,00:3:45,00:5:50,225,350
application_1527220447442_860674,SUCCESS,2018/06/08 02:07:16,2018/06/08 02:09:04,2018/06/08 02:13:05,00:1:48,00:5:49,108,349
application_1527220447442_858145,SUCCESS,2018/06/08 00:50:11,2018/06/08 00:53:25,2018/06/08 00:55:58,00:3:14,00:5:47,194,347
application_1527220447442_855491,SUCCESS,2018/06/08 00:04:56,2018/06/08 00:06:38,2018/06/08 00:10:41,00:1:42,00:5:45,102,345
application_1527220447442_858845,SUCCESS,2018/06/08 01:14:18,2018/06/08 01:15:35,2018/06/08 01:20:02,00:1:17,00:5:44,77,344
application_1527220447442_858468,SUCCESS,2018/06/08 01:02:48,2018/06/08 01:04:08,2018/06/08 01:08:32,00:1:20,00:5:44,80,344
application_1527220447442_880326,SUCCESS,2018/06/08 10:51:34,2018/06/08 10:54:45,2018/06/08 10:57:16,00:3:11,00:5:42,191,342
application_1527220447442_863858,SUCCESS,2018/06/08 03:45:02,2018/06/08 03:48:19,2018/06/08 03:50:41,00:3:17,00:5:39,197,339
application_1527220447442_863603,SUCCESS,2018/06/08 03:38:58,2018/06/08 03:42:15,2018/06/08 03:44:36,00:3:17,00:5:38,197,338
application_1527220447442_860109,SUCCESS,2018/06/08 01:43:57,2018/06/08 01:45:49,2018/06/08 01:49:35,00:1:52,00:5:38,112,338
application_1527220447442_855413,SUCCESS,2018/06/08 00:02:32,2018/06/08 00:03:55,2018/06/08 00:08:09,00:1:23,00:5:37,83,337
application_1527220447442_856219,SUCCESS,2018/06/08 00:25:19,2018/06/08 00:26:38,2018/06/08 00:30:56,00:1:19,00:5:37,79,337
application_1527220447442_859167,SUCCESS,2018/06/08 01:26:04,2018/06/08 01:27:11,2018/06/08 01:31:40,00:1:7,00:5:36,67,336
application_1527220447442_858925,SUCCESS,2018/06/08 01:16:56,2018/06/08 01:18:00,2018/06/08 01:22:27,00:1:4,00:5:31,64,331
application_1527220447442_877219,SUCCESS,2018/06/08 09:46:23,2018/06/08 09:49:38,2018/06/08 09:51:54,00:3:15,00:5:31,195,331
